CELL_LINE,COMBINATION_ID,ADDITION_SCORE
A2058,5-FU.ABT-888,17.58229901
A2058,5-FU.AZD1775,48.72891857
A2058,5-FU.BEZ-235,140.8404286
A2058,5-FU.BORTEZOMIB,100.8566248
A2058,5-FU.DASATINIB,52.82706824
A2058,5-FU.DINACICLIB,85.2333053
A2058,5-FU.ERLOTINIB,40.50484102
A2058,5-FU.L778123,37.46380886
A2058,5-FU.LAPATINIB,32.57658376
A2058,5-FU.MK-2206,47.31027669
A2058,5-FU.MK-4827,122.4551091
A2058,5-FU.MK-5108,37.69621891
A2058,5-FU.MK-8669,57.71886548
A2058,5-FU.MK-8776,62.16843263
A2058,5-FU.MK-8776,79.17388536
A2058,5-FU.PD325901,57.95102794
A2058,5-FU.SORAFENIB,29.58301426
A2058,5-FU.SUNITINIB,47.97503193
A2058,5-FU.TEMOZOLOMIDE,112.5621628
A2058,5-FU.ZOLINZA,53.80106288
A2058,5-FU.GELDANAMYCIN,168.2363122
A2058,ABT-888.BEZ-235,118.9256947
A2058,ABT-888.DINACICLIB,61.77781327
A2058,ABT-888.MK-8669,22.83879621
A2058,ABT-888.MK-8776,35.17574088
A2058,ABT-888.OXALIPLATIN,9.381317444
A2058,ABT-888.SN-38,32.89797556
A2058,ABT-888.SORAFENIB,13.95564513
A2058,ABT-888.TOPOTECAN,145.4559793
A2058,ABT-888.GELDANAMYCIN,150.4363961
A2058,ABT-888.AZD1775,29.69666706
A2058,AZD1775.BEZ-235,126.1255176
A2058,AZD1775.BEZ-235,148.4668856
A2058,AZD1775.BORTEZOMIB,96.68449287
A2058,AZD1775.DASATINIB,63.02263898
A2058,AZD1775.DASATINIB,101.4541924
A2058,AZD1775.DINACICLIB,81.58044116
A2058,AZD1775.ERLOTINIB,52.35832674
A2058,AZD1775.LAPATINIB,46.52056254
A2058,AZD1775.MK-2206,57.25704444
A2058,AZD1775.MK-4827,109.1692517
A2058,AZD1775.MK-5108,44.16229927
A2058,AZD1775.MK-8669,65.03342197
A2058,AZD1775.MK-8776,64.59722737
A2058,AZD1775.MK-8776,92.62148265
A2058,AZD1775.OXALIPLATIN,42.72143528
A2058,AZD1775.PD325901,65.20436871
A2058,AZD1775.SN-38,63.20369882
A2058,AZD1775.SORAFENIB,32.17266793
A2058,AZD1775.TOPOTECAN,135.4084048
A2058,AZD1775.GELDANAMYCIN,146.3423698
A2058,BEZ-235.DINACICLIB,189.1421241
A2058,BEZ-235.MK-8776,169.5867599
A2058,BEZ-235.OXALIPLATIN,132.1793164
A2058,BEZ-235.SN-38,168.119169
A2058,BEZ-235.SORAFENIB,89.60275036
A2058,ABT-888.BORTEZOMIB,72.81002534
A2058,BEZ-235.BORTEZOMIB,224.7453761
A2058,BORTEZOMIB.DASATINIB,134.7088041
A2058,BORTEZOMIB.DINACICLIB,152.8587805
A2058,BORTEZOMIB.MK-8669,134.9126246
A2058,BORTEZOMIB.MK-8776,127.8317155
A2058,BORTEZOMIB.OXALIPLATIN,91.40597481
A2058,BORTEZOMIB.SN-38,125.8251264
A2058,BORTEZOMIB.SORAFENIB,65.4287444
A2058,BORTEZOMIB.TOPOTECAN,232.4963447
A2058,BORTEZOMIB.GELDANAMYCIN,254.61501
A2058,ABT-888.CARBOPLATIN,28.1063107
A2058,AZD1775.CARBOPLATIN,63.86026948
A2058,BEZ-235.CARBOPLATIN,177.2697923
A2058,BORTEZOMIB.CARBOPLATIN,129.6705481
A2058,CARBOPLATIN.DASATINIB,73.22282466
A2058,CARBOPLATIN.DINACICLIB,109.5293613
A2058,CARBOPLATIN.ERLOTINIB,57.87207385
A2058,CARBOPLATIN.L778123,50.44957172
A2058,CARBOPLATIN.LAPATINIB,48.4337759
A2058,CARBOPLATIN.MK-2206,65.92559495
A2058,CARBOPLATIN.MK-4827,153.9182991
A2058,CARBOPLATIN.MK-5108,51.90352376
A2058,CARBOPLATIN.MK-8669,78.36473529
A2058,CARBOPLATIN.MK-8776,82.07148075
A2058,CARBOPLATIN.PD325901,78.64111614
