CELL_LINE,COMPOUND_A,MAX_CONC_B,MAX_CONC_A,IC50_B,H_B,Einf_B,IC50_A,H_A,Einf_A,SUM_SYN_ANT_LOEWE,SUM_SYN_ANT_BLISS,SUM_SYN_ANT_HSA
A2058,5-FU,18.8641176471,10.0,2.78872483794,6.31429857653,43.4494862468,3.722859654,2.608016039,63.74306957,10.5607306582,10.845411576,17.556194427
A2058,ABT-888,5.681875,10.0,2.79650236637,5.19936980712,37.0124829205,1.0,0.0,100.0,16.9364290311,16.9364290311,16.9364290311
A2058,AZD1775,4.37107142857,0.5,1.62450578829,6.12942003979,44.5409808854,0.212832215,10.0,26.78168024,11.1043132176,21.9849120965,27.6221048239
A2058,BEZ-235,2.02,0.4,0.243233327,2.388654695,34.895617507,0.025076727,2.676095718,29.0622981,28.3724364565,22.9297612635,40.580131655
A2058,BORTEZOMIB,6.81,0.04,2.1463386474,3.3572265526,61.0270709868,0.009332744,10.0,1.801692812,29.5690846068,38.213422304,44.689289074
A2058,CARBOPLATIN,20.588125,50.0,3.07352272162,5.71771637856,51.3382224644,14.6845894,10.0,35.30135498,-1.87995138125,11.374930051,18.0892750127
A2058,CYCLOPHOSPHAMIDE,18.77,10.0,2.73322076541,5.42865529294,46.5518448333,1.0,0.0,100.0,8.63049153359,8.63049153359,8.63049153359
A2058,DASATINIB,4.72214285714,3.0,1.48952932486,5.23584203971,42.2166656934,0.025977973,1.019602605,91.46819517,25.0550335234,17.6094053161,25.6385804234
A2058,DEXAMETHASONE,17.3710526316,10.0,2.60193617237,5.93818203468,47.8387693148,1.0,0.0,100.0,-4.37534181279,-4.37534181279,-4.37534181279
A2058,DINACICLIB,4.0,0.04,0.47221428,2.267968461,69.4464428,0.014252374,2.509340929,0.344792214,10.04225753,2.685607545,14.50088812
A2058,DOXORUBICIN,20.6393333333,0.3,3.002235952,6.05407604593,41.2152506651,0.012271697,2.359708904,8.986739449,6.70221182913,1.97802727987,10.672722586
A2058,ERLOTINIB,3.95388888889,5.0,1.53004124667,5.28282204133,38.3362442173,5.0,10.0,30.40697236,12.5090685319,24.9142398222,28.6264009678
A2058,ETOPOSIDE,21.9271428571,4.0,3.19641011321,7.06154570643,39.1571709397,0.209211814,10.0,11.2222446,-12.9525740804,-1.53319165721,9.36954203357
A2058,GELDANAMYCIN,0.36125,2.0,0.025666592,4.32954165575,18.0417230485,0.10388905,10.0,17.06794584,3.194171062,12.1187262615,31.2903151325
A2058,GEMCITABINE,20.4778571429,0.01,2.29964883336,5.29000164614,46.6132917247,0.002699827,10.0,12.10700161,-1.8783241195,3.40312831486,8.31125169243
A2058,L778123,4.65525,5.0,1.96364017835,6.59960162845,37.9069527653,1.545426397,3.047659608,72.1314021,23.5990815423,22.1019730581,28.17461703
A2058,LAPATINIB,5.72730769231,5.0,2.31964522154,5.93430612869,40.5401536903,5.0,10.0,59.80176276,13.4902573244,19.1205404485,21.9840488631
A2058,METFORMIN,18.8876470588,250.0,2.77672402429,5.54795276371,43.5839222227,1.0,0.0,100.0,9.93044062365,9.93044062365,9.93044062365
