CELL_LINE,COMPOUND_A,MAX_CONC_B,MAX_CONC_A,IC50_B,H_B,Einf_B,IC50_A,H_A,Einf_A,SUM_SYN_ANT_LOEWE,SUM_SYN_ANT_BLISS,SUM_SYN_ANT_HSA
A2058,5-FU,4.0,10.0,0.883782073,10.0,35.26137926,3.722859654,2.608016039,63.74306957,8.091125225,10.09997185,14.47681784
A2058,ABT-888,0.7,10.0,0.043371056,2.5927183235,28.129739485,1.0,0.0,100.0,14.081089525,14.081089525,14.081089525
A2058,AZD1775,3.0,0.5,0.288051665,7.774691867,45.972040415,0.212832215,10.0,26.78168024,3.587357108,16.59852732,21.5261349
A2058,BEZ-235,2.02,0.4,0.243233327,2.388654695,34.895617507,0.025076727,2.676095718,29.0622981,28.3724364565,22.9297612635,40.580131655
A2058,BORTEZOMIB,4.0,0.04,0.47221428,2.267968461,69.4464428,0.009332744,10.0,1.801692812,40.96466873,39.57012309,43.24054153
A2058,CARBOPLATIN,4.5,50.0,1.000436071,4.527538755,46.62328022,14.6845894,10.0,35.30135498,-3.508201528,14.38245992,18.264539265
A2058,CYCLOPHOSPHAMIDE,4.0,10.0,0.795697826,3.504056294,45.06072329,1.0,0.0,100.0,6.543893504,6.543893504,6.543893504
A2058,DASATINIB,1.0,3.0,0.061665385,2.509340929,27.19718087,0.025977973,1.019602605,91.46819517,21.34363067,19.06754254,22.73231656
A2058,DEXAMETHASONE,4.0,10.0,0.883782073,5.551021216,45.06072329,1.0,0.0,100.0,-5.641901696,-5.641901696,-5.641901696
A2058,DINACICLIB,4.0,0.04,0.47221428,2.267968461,69.4464428,0.014252374,2.509340929,0.344792214,10.04225753,2.685607545,14.50088812
A2058,DOXORUBICIN,4.0,0.3,0.795697826,5.551021216,35.26137926,0.012271697,2.359708904,8.986739449,6.576750743,5.939656564,11.30644885
A2058,ERLOTINIB,0.4,5.0,0.025977973,2.676095718,27.19718087,5.0,10.0,30.40697236,10.88497345,18.03815653,22.5324182
A2058,ETOPOSIDE,4.0,4.0,0.9418910365,10.0,29.73463523,0.209211814,10.0,11.2222446,-18.0322391,-5.057985164,3.197810082
A2058,GELDANAMYCIN,0.22,2.0,0.0196645505,2.5927183235,21.37990094,0.10388905,10.0,17.06794584,3.1206778825,9.7957456345,32.57385013
A2058,GEMCITABINE,2.5,0.01,0.3425232475,3.0066986115,46.62328022,0.002699827,10.0,12.10700161,-6.8169400785,-0.5345988175,4.2407683295
A2058,L778123,4.0,5.0,0.3425232475,9.999181259,28.881498595,1.545426397,3.047659608,72.1314021,21.82946636,19.833534765,26.838112655
A2058,LAPATINIB,2.0,5.0,0.47221428,5.551021216,30.40697236,5.0,10.0,59.80176276,15.17350571,20.00105839,22.80396887
A2058,METFORMIN,4.0,250.0,0.795697826,3.504056294,35.26137926,1.0,0.0,100.0,8.38015156,8.38015156,8.38015156
A2058,METHOTREXATE,4.5,0.2,0.8397399495,3.275857951,46.62328022,0.01363669,3.639919962,16.96428602,-2.2011439865,-4.2746957155,1.215102741
A2058,MITOMYCINE,4.0,1.0,0.9418910365,3.275857951,53.563760825,0.039000254,2.179214563,21.38036706,-3.1389807075,-7.1855732025,4.410134523
A2058,MK-2206,1.5,4.0,0.0499620775,2.5927183235,29.73463523,1.000872142,10.0,72.39713805,16.41454824,20.92601026,26.505005085
A2058,MK-4541,2.5,4.0,0.1583606325,6.751209406,29.553835725,1.0,0.0,100.0,2.998539248,2.998539248,2.998539248
A2058,MK-4827,0.7,10.0,0.0499620775,2.5927183235,29.73463523,0.795697826,5.551021216,35.26137926,4.068885981,-0.988795865,12.85664704
A2058,MK-5108,3.0,2.0,0.10388905,2.509340929,35.26137926,0.883782073,10.0,48.18583715,-4.791821458,10.18656978,12.73686994
