CELL_LINE,MAX_CONC_B,MAX_CONC_A,IC50_B,H_B,Einf_B,IC50_A,H_A,Einf_A,SUM_SYN_ANT_LOEWE,SUM_SYN_ANT_BLISS,SUM_SYN_ANT_HSA
A2058,13.7259418605,25.0437906977,2.36011358446,5.68541696442,43.0679847258,2.85107613713,5.4317944984,51.6336114645,6.85457036193,9.966549711,16.0024039592
A2780,13.2231573276,24.5596012931,4.00683766175,2.13514858473,34.4752831219,4.69723445808,2.54820394161,39.6607846529,7.18502253668,0.84454578145,13.8635156795
A375,12.2384375,23.1573599138,4.9105541987,3.86581922279,47.6173803808,5.52767528217,3.16078630196,52.6090791766,12.6391440737,14.2816184916,18.759858065
A427,13.7178652968,24.2214726027,3.61726075229,2.66099543405,30.6642276183,6.43937522392,1.80173984834,35.6717081718,5.10670505239,-1.80981884979,12.0190500217
DLD1,12.6732866379,20.8259482759,2.96008142928,2.62036402664,58.0456754226,2.85166655509,3.28364088321,64.7850590534,9.01571872344,8.79965827662,13.3548047754
ES2,14.2098140044,22.0003391685,3.18696601109,5.85392259546,49.9223209914,13.1527603328,5.39561767631,52.533865455,3.08102136649,6.97136434058,11.7364779089
HCT116,15.5955402299,21.8277126437,2.37979460744,3.12323846883,51.4175076802,2.00403707845,2.98755907148,52.6855138396,6.89882816312,8.61359178011,12.0973985207
HT144,13.5445403587,21.8675784753,11.260733385,2.55906930023,41.3834517797,18.6342826429,2.72932643242,53.9375954071,-0.163276863626,-4.15645417175,5.08862562561
HT29,13.9693939394,22.1937337662,2.88870705736,2.58201921483,40.2100390777,9.88675466978,3.97980178794,43.6941542432,4.72914776925,3.44841312678,12.1731537034
LOVO,11.5786894273,20.5401211454,8.60511519164,3.00479432737,28.0100730253,18.3110610799,2.39612254485,38.4686794977,4.15463741662,-7.17672299809,10.9038057844
MDAMB436,13.2478648069,21.7223390558,3.30918210415,3.36430257981,51.7338654659,3.14543073075,3.66628616808,59.1559741303,5.22814907377,-1.90690919513,10.1541654715
MSTO,14.31372,23.9442266667,4.37475410275,3.55749551592,30.5594613819,5.43779758003,3.43844763642,40.8910469442,5.23592990352,3.72647879243,14.7868809726
NCIH1650,13.1405888889,20.9326555556,3.08449479644,3.02239136726,42.7630291473,10.480989604,2.37000151908,47.8600359031,1.82705168214,-2.77962518089,7.18202843167
NCIH2122,13.423364486,23.6298714953,5.69140736698,3.81200052404,34.7993757658,13.1957120923,4.66242033804,46.5579315145,-0.551025542248,-1.13053920735,7.57341147042
NCIH23,12.6751403888,21.7072138229,5.64706327007,2.65651903726,35.4654412264,14.2414675025,2.44602098049,40.5615599704,-4.74695349039,-6.50633509348,3.60603857643
NCIH520,12.6925438596,24.1741666667,3.10954009226,2.73846670412,48.1538185447,12.0169747807,3.68816788225,51.3505871899,1.9373531548,-1.28792629565,7.94003219809
OCUBM,5.3187394958,18.7766386555,1.90680205384,3.02013950695,27.2511602818,8.26112063142,2.91324954924,31.6586607946,12.1447419829,13.7196131818,22.4578260537
OV90,14.5249418605,22.1239418605,4.1927979306,3.40320430927,45.4615744926,12.5785214251,3.73223246326,51.6289613269,1.3547021509,-3.25889739135,7.40746349814
OVCAR3,12.6138095238,21.6856442577,0.681958301238,3.9976423168,41.5014792507,1.47304251522,3.85199438783,53.1309653548,4.44570270266,-1.54481783817,10.2394295766
PA1,13.9275872093,26.5393459302,8.8101258536,3.80346398028,38.4585205403,12.9603694685,4.27706147516,40.5170320473,9.72315989101,10.0900526291,16.549795225
RKO,15.1357972665,22.7436560364,2.82424262018,3.72506008575,49.3715028758,3.52100585451,3.39133420698,56.2083117017,8.71211425932,8.13305337598,14.1315988497
RPMI7951,14.352975,23.257075,5.06583222887,3.27505099759,26.4522026682,13.0867260786,3.55911462713,39.3396436202,0.734227777422,1.88212222463,10.5638692033
SKMEL30,13.5194692144,22.2360403397,1.92381354297,5.80901624141,51.8570499181,2.47118756501,5.42977656492,58.8986916457,4.38859879502,4.88114889422,11.0232620872
SKMES1,14.3113714903,21.6413390929,2.8132667355,2.64062663898,35.0073901712,3.97209337352,2.07599666116,42.0050324896,4.27950945649,-0.589645494406,10.8613779862
SKOV3,12.4462473795,21.7341194969,2.25993176188,3.81684918435,42.7104596469,10.7763171183,3.65468266445,56.6975539877,6.62936750103,6.55227648624,13.3954913808
SW620,13.1392537313,23.6262366738,2.37388159679,2.55867268789,45.5710700752,3.73382536896,3.10014421264,51.8045023879,4.43922191963,2.46655172398,10.1863143684
SW837,10.0215401786,21.8728459821,1.80841316831,4.55224498803,37.533146914,2.56347959019,3.88950360558,48.2093569721,1.04909560655,-4.43779094872,8.60418383954
T47D,5.42229083665,17.2685458167,1.27559277531,4.24267646259,33.2274279391,5.71106277073,3.08331639469,35.5608444314,3.28899342444,-4.2162527038,11.6907214443
UACC62,13.6410869565,22.7734456522,3.46618752112,2.57479872681,40.3756890188,3.86921673635,3.00089410657,51.8387600983,4.31498569306,1.18469601938,11.0624164344
UWB1289,15.4443673966,23.5190754258,3.08672508262,2.45373341038,24.3153367239,11.6090441642,2.71039041141,35.7070883499,4.73940872884,-2.89403133906,12.0589866418
VCAP,11.8701888889,21.7966444444,2.56336193149,5.30160376767,44.5782451961,3.46530972532,4.17070300415,46.7303925804,5.94598722522,8.22925947029,13.5202085618
