CELL_LINE,MAX_CONC_B,MAX_CONC_A,IC50_B,H_B,Einf_B,IC50_A,H_A,Einf_A,SUM_SYN_ANT_LOEWE,SUM_SYN_ANT_BLISS,SUM_SYN_ANT_HSA
A2058,46.9292474794,65.6158662175,4.32311829725,4.01736085867,29.2715063439,4.60348151565,4.30323772649,34.3910000426,22.0888097124,20.5293136681,20.9445828293
A2780,45.2511430329,65.2101794218,12.7736126078,1.66850721179,29.1077199176,13.588175076,2.92267356483,32.6532793746,18.7962756088,15.9301570181,17.8427654455
A375,42.4905506505,63.4712957085,13.9423983463,3.98269352721,36.1098356815,18.2011077698,3.68961130969,37.6114519409,19.9782217399,19.89531342,20.5332585162
A427,46.4695958801,65.0983039676,7.01872665368,3.28795025887,27.2387126235,12.0498929184,2.16066389476,34.7178661984,19.2325658172,18.1919077378,19.2267408492
DLD1,43.899880591,58.9346365967,5.0561554536,2.7208223491,32.5490564087,4.20501525875,3.53550110841,27.3703103459,14.4213346962,13.6411543565,14.6877397917
ES2,48.1359201477,61.240057798,12.3103753372,4.02085754448,32.8628871451,46.1692402934,4.07873875946,30.3202012043,14.7406328812,13.8407143388,14.9102833829
HCT116,50.5647629397,60.6499805638,4.19001143062,3.53121199119,37.8625793775,2.4726680093,3.74896859025,38.6832522574,17.4245917246,18.0011904089,18.5214947549
HT144,46.1132634575,60.9174625161,46.2946515475,2.91863822817,34.5123726665,61.1710007998,3.47708604092,33.1099243437,25.440964957,25.5135565438,26.4626028341
HT29,46.6517519365,61.7869703573,16.528053826,2.64492093224,31.0541011479,42.6047925578,3.91755099432,35.3278353799,16.4338927263,15.5818596854,16.3130055946
LOVO,41.4354009138,58.5372936893,41.6306077388,3.14448169878,24.3070593843,59.1268919958,3.11881110943,33.4490826593,15.6302611891,13.7716538175,16.5177062721
MDAMB436,45.1505804747,60.6769795482,9.17694670481,3.4156735967,23.5915227299,8.98859381314,3.85006400005,25.2346658591,11.5093634126,12.5165624744,12.3186679572
MSTO,50.1293927872,63.8236664134,12.7944236559,3.57919499065,29.2312989722,12.8300535716,3.82414734625,34.3775122548,28.6899504526,29.4284125065,29.7310201305
NCIH1650,44.4681699661,59.7318265492,16.7440225248,3.47969556493,30.2927002423,44.617702546,3.12429143203,33.3797911622,16.1391974836,14.3453973125,16.0531311877
NCIH2122,45.6048792586,63.9357912186,18.8185469012,3.6835275246,30.83607378,46.3472226133,4.18568704344,32.2542305374,33.7097949498,31.8716190653,31.7734270382
NCIH23,43.8969552513,60.8555003447,23.2199917846,2.83220173841,27.7016074439,48.0167812004,2.78066726768,33.9385345671,33.5587013614,32.6967041292,31.9666271222
NCIH520,44.2677019686,64.8741786665,16.7111088402,2.93438151405,30.0423930405,47.0471795451,3.95753190014,30.836991685,14.7535498383,14.4001221142,14.3773691972
OCUBM,17.1101960031,52.306640931,7.8980075647,2.91176557284,31.1210127426,23.1709337936,3.35310353758,38.4789845901,18.3346687026,18.4692659081,18.9011773052
OV90,48.2609087098,61.0263615016,17.5501398398,3.40210761148,28.3379939896,45.5193969938,4.06318139493,31.7664838798,15.2352146881,13.8484117749,15.6809868721
OVCAR3,46.435992641,59.455215181,1.11257888955,3.78962545224,34.7745504828,2.75942582677,3.97274365746,36.7251552976,22.4395032117,20.1473242643,22.0437740436
PA1,45.4722072518,66.1957636848,41.8346691815,3.55043684959,34.7595726027,50.7604256113,3.96811373068,37.3549876383,19.1905442648,18.1310969871,18.8349867536
RKO,49.0658523884,62.3278654399,4.98747718077,3.92871977189,34.4894329428,9.27561946223,4.02956321704,35.4064929525,16.8646633211,16.8849312387,17.2708368498
RPMI7951,47.0572271119,62.9641522236,20.2763833705,3.00710839441,28.0373958215,47.9538279441,3.67097057571,36.9000196487,17.8339794615,15.590691614,17.2362028423
SKMEL30,46.2118305744,61.3021692735,2.90338893875,4.2865133343,31.3763753245,4.07506582858,4.52794261559,30.3301401073,21.1184392639,21.6331829139,21.8882203552
SKMES1,47.8845223404,60.8662209812,5.93456588091,2.79775497385,30.2373090063,9.4345876858,2.73616736142,33.5620598858,16.3552685984,16.1184950406,16.0928454948
SKOV3,43.3322959602,60.9593271929,11.7774916678,3.80195707986,33.025810283,44.8081332902,3.83672560055,33.1048737289,17.0135629842,16.5029189947,17.1927065692
SW620,44.9835562273,64.0473358156,4.68304129479,2.91708318348,36.4243263237,9.51683524624,3.7751431414,36.0843672784,14.7411349321,15.2032183854,14.2234487229
SW837,36.7889567717,60.8750222587,2.88339138306,4.14028317363,27.7222006859,3.85905189349,3.93141749279,33.0119715846,26.8349532017,26.3367275841,26.7454345068
T47D,22.4817848008,52.9525527957,2.36825888174,4.0287469935,24.192045194,28.0051838241,3.57310336344,30.877014279,19.4864905236,22.5698774234,20.2623381989
UACC62,46.7459786559,62.8453187961,8.90561361549,2.60279503382,31.1899384408,9.04951802323,3.53572954484,31.6373985979,15.7880832246,16.0603788469,16.6347276473
UWB1289,50.651720583,63.2463759147,17.564751423,2.61892228058,25.6227438165,48.1271943201,3.13230876777,31.5394024433,14.6527530465,14.3974511645,15.5892090831
VCAP,41.5949329233,60.6707377352,5.15961252707,4.36602937668,37.2398240563,9.30722233988,4.1333636735,38.3032841904,20.4843325416,17.812557539,18.9615429708
