COMBINATION_ID,MAX_CONC_B,MAX_CONC_A,IC50_B,H_B,Einf_B,IC50_A,H_A,Einf_A,SUM_SYN_ANT_LOEWE,SUM_SYN_ANT_BLISS,SUM_SYN_ANT_HSA
5-FU.ABT-888,10.0,10.0,2.97592731448,1.41748451048,93.7850414804,4.49231245848,2.41197146093,44.1633074444,-0.409099642185,-2.07253539574,0.0969973017407
5-FU.AZD1775,0.5,10.0,0.2777944724,5.80552420652,31.7993296485,4.55250054348,2.08972147888,41.3022514076,9.79067705088,10.7600316236,19.095611722
5-FU.BEZ-235,0.4,10.0,0.0593542509048,2.06647860786,24.8616123082,4.9519501879,2.19152383552,39.1958264857,-2.97823384233,-11.2025698366,7.09013190329
5-FU.BORTEZOMIB,0.04,10.0,0.00616995575,4.4219879851,2.4415331069,4.9499751991,2.69910788845,41.81525913,-6.3153729089,-6.55346798865,5.88169431175
5-FU.DASATINIB,3.0,10.0,0.542187232654,1.62066094635,58.2877428038,4.74775709585,2.42676210231,42.2084280477,8.24018671388,-3.66098736946,12.7145038316
5-FU.DINACICLIB,0.04,10.0,0.01160295032,3.7359008146,9.57878649252,3.81857159536,2.10166604764,43.7943157848,-0.48842394356,-1.879754623,9.4968530712
5-FU.ERLOTINIB,5.0,10.0,3.30799986089,3.41883178696,26.0984600013,4.31615153141,2.044851107,42.0850333485,11.4863980462,4.85714323841,20.1719045178
5-FU.GELDANAMYCIN,2.0,10.0,0.500952308565,5.58740850996,27.2782430218,4.30524861604,1.86258809083,39.3135824061,0.270490243913,-2.26054668265,11.3505223117
5-FU.L778123,5.0,10.0,2.79910035818,2.358697874,45.2833958995,4.68455840891,2.57899132082,40.7514639568,4.53097458259,-3.335174755,9.74326667391
5-FU.LAPATINIB,5.0,10.0,3.36981662619,3.09406777226,51.6314314823,4.23267214537,2.07736700974,42.8548102456,3.70981164067,-1.76077372204,9.47405322719
5-FU.MK-2206,4.0,10.0,1.27302983014,2.27792470732,60.9207960907,4.41017750454,2.36479839225,43.9616586654,9.98450391282,-0.795585237429,14.8230592977
5-FU.MK-4541,10.0,4.0,4.52453950332,2.338495956,43.2174532275,2.01808267196,3.75798939979,91.5506172386,0.762280037179,-1.38589902039,1.52837906754
5-FU.MK-4827,10.0,10.0,4.56101825142,4.93702675831,56.6548918519,4.36358950696,2.45074419842,44.3110658973,0.932540039038,-1.55115534531,9.044638219
5-FU.MK-5108,2.0,10.0,0.9266768728,4.3205908662,57.7442276345,4.76357440088,2.4838147654,44.0011203364,5.10998518364,1.81832985808,11.6098406623
5-FU.MK-8669,0.01,10.0,0.084196885625,4.48147955208,72.2320313662,4.43335677908,2.51509310129,44.8696676654,14.7112569727,2.66477267317,19.0801769446
5-FU.MK-8776,4.0,10.0,0.774328424565,3.14844685665,54.0258711957,4.67694861604,1.7972257523,41.9460239796,9.28362991535,2.25982078122,16.0374377112
5-FU.MRK-003,10.0,10.0,4.04174016689,2.35437255463,44.475954533,6.71477537793,4.02384093407,48.5568042657,2.5749764163,-0.784625809444,9.18747588919
5-FU.PD325901,0.1,10.0,0.0939157584643,1.10540098689,53.0265556404,4.4646322685,2.33330101539,43.7953128104,-1.27440376286,-13.5027574398,3.75387887107
5-FU.SORAFENIB,20.0,10.0,10.0207501566,5.1005388536,6.66313223865,5.0436251811,2.6919142995,45.3669176295,0.364266928,2.0518922814,8.19109816665
5-FU.SUNITINIB,5.0,10.0,3.36288989469,3.43701935388,24.1620213308,4.1970667135,2.08878684354,42.4229229181,7.25308828565,6.29468343392,14.2295549482
5-FU.TEMOZOLOMIDE,250.0,10.0,45.555977365,3.95732089421,77.3945710421,4.10962555792,2.53613452313,45.9989622229,-9.87776506358,-13.6661163282,-5.58952223083
5-FU.ZOLINZA,4.0,10.0,1.68848038372,4.28868773344,12.3509939469,4.48057719624,2.42389360384,41.9076580188,0.00578730584,2.11857187092,12.2957025662
ABT-888.AZD1775,10.0,0.5,3.49400149964,1.60738360236,92.2013216152,0.2664010572,5.945573042,27.2708562877,2.13569028464,1.24316430584,2.88205248752
ABT-888.BEZ-235,0.4,10.0,0.0645034549048,1.74297691314,25.0681450416,2.89558497719,1.20542812748,95.5193232148,13.3741724747,12.0261492195,13.6971606089
ABT-888.BORTEZOMIB,10.0,0.04,2.58279150475,0.94491626575,93.3100156155,0.0057593229,5.24498914435,3.88960665535,0.92972993985,-0.32277611215,1.40740722785
ABT-888.CARBOPLATIN,10.0,50.0,3.67531334689,1.4227920247,91.8351631648,23.6752629186,4.86911823044,51.9880989605,1.24259357441,0.333036128815,2.16449932656
ABT-888.CYCLOPHOSPHAMIDE,10.0,10.0,3.53386149964,1.98652392464,92.2030664256,1.27714874276,0.43982035784,99.190494278,2.41988449436,1.95593416836,2.50252672216
ABT-888.DASATINIB,10.0,3.0,3.65975933745,1.23832612891,90.6999647977,0.522109862864,1.82756023291,56.4392222836,0.567737624364,-2.69970678509,1.11329706891
ABT-888.DEXAMETHASONE,10.0,10.0,3.4317423983,0.906494037391,91.6500787604,1.02768607952,0.485414117217,96.9738844261,-4.99318283365,-5.71331046226,-4.92464737235
ABT-888.DINACICLIB,0.04,10.0,0.0119876083704,3.71911764944,9.34389932393,3.34616805522,1.51293936519,91.8761603589,10.2207742779,10.2688164406,11.722530477
ABT-888.DOXORUBICIN,10.0,0.3,3.54903402422,1.34562447217,91.0053310574,0.051549133,2.09022394178,6.4811229717,3.45354107057,1.89818945687,3.75018023787
ABT-888.ERLOTINIB,10.0,5.0,3.53713627436,0.382517484864,91.520341635,3.41911756914,4.34494830141,28.6722018998,1.34884643764,-0.672769617955,2.223197815
ABT-888.ETOPOSIDE,10.0,4.0,3.59236011117,1.312254724,92.2939760626,1.20691945126,2.19241972174,25.1233558474,2.74228476026,0.961209688957,3.46077626757
ABT-888.GELDANAMYCIN,2.0,10.0,0.652762135957,5.55940622574,26.7781495722,3.98366445865,0.943028752391,89.6822634861,8.94870534635,7.49750423104,9.83592842226
ABT-888.GEMCITABINE,10.0,0.01,4.21307400283,1.55964953028,89.0126444406,0.00180415911111,4.33496045461,20.5377397989,-2.43696748528,-3.44686902933,-2.19143353339
ABT-888.L778123,10.0,5.0,3.10934510621,0.817032839625,91.4266635229,3.05550149525,2.73615937346,47.6393137378,1.98201020388,0.412035225917,2.52645848496
ABT-888.LAPATINIB,10.0,5.0,3.15894913457,1.26247193843,91.7824503709,3.60367108096,3.49055395804,51.0319921827,-3.24653132891,-4.85548434765,-2.2076339333
ABT-888.METFORMIN,10.0,250.0,2.84813259624,1.23338648052,95.3602697133,136.396928524,3.67855427995,90.6725866552,-3.4130926109,-3.48809258124,-3.13588778071
ABT-888.METHOTREXATE,10.0,0.2,3.37062969756,1.12523230656,91.8564069069,0.04727655275,7.064794365,23.3865537294,-0.39804311075,-1.22549073144,0.09972408475
ABT-888.MITOMYCINE,10.0,1.0,2.43376149864,0.665868519955,94.8121065532,0.148578605955,1.64442711627,27.9162921831,1.97756137991,0.648505341364,2.31528008968
ABT-888.MK-2206,10.0,4.0,3.74044821696,1.16222732448,90.9624907968,1.32719884492,2.03533226308,59.3446048484,6.06986164832,4.30984277344,7.26168538736
ABT-888.MK-4541,10.0,4.0,2.63588613288,1.38081215735,95.5489713612,1.99612323496,3.55152527819,92.2972363335,1.40347564054,1.15787318331,1.97952327823
ABT-888.MK-4827,10.0,10.0,3.12947841464,1.10991521836,92.5471401088,4.68009117848,4.38295330796,53.618225202,-5.07382780472,-6.52112019812,-4.43634674472
ABT-888.MK-5108,10.0,2.0,3.35797653765,1.53253246822,92.9382207443,0.774455894478,4.70113902304,65.3496726101,8.69630955235,8.31123481526,9.54824078104
ABT-888.MK-8669,0.01,10.0,0.04122616996,5.04887661124,74.7495167296,2.98623320348,0.76165135772,92.1174870548,7.00803618116,5.44132430796,8.26134494084
ABT-888.MK-8776,4.0,10.0,0.726681118955,3.511935489,50.1299176877,3.25580829805,1.31985702655,91.831167905,-6.4573991615,-8.08080750832,-5.36473236109
ABT-888.MRK-003,10.0,10.0,3.70661105005,0.854772494619,91.3046214329,6.16032958795,4.19352091081,55.6960946762,3.01626468829,1.76193542995,4.15074981214
ABT-888.OXALIPLATIN,20.0,10.0,9.47332693961,3.85938227404,34.9007463754,3.55025348239,1.26681976452,91.3676729209,-8.70652560739,-9.91627081396,-7.63032333265
ABT-888.PACLITAXEL,10.0,0.04,3.83925155033,1.46901727905,90.4261303943,0.00582713533333,3.86542947648,24.5440126252,-11.0191984411,-12.3732177933,-9.76890989114
ABT-888.PD325901,10.0,0.1,3.59791822879,1.62785373775,91.137429475,0.142942090875,1.06124684287,58.4072341254,-5.57265517596,-9.02986354625,-4.73205486058
ABT-888.SN-38,0.005,10.0,0.00286309691304,3.44043202874,32.6453982043,3.15894913457,1.26502582209,93.2029425543,18.5495701414,17.0453275637,19.3171747848
ABT-888.SORAFENIB,20.0,10.0,9.3807757989,4.94329943585,7.21335239315,3.08121412785,0.9434244853,91.377967501,8.7717340091,8.5772901283,9.56831984015
ABT-888.SUNITINIB,10.0,5.0,3.59791822879,1.6609624215,91.7213338763,3.56654979321,4.0115395805,26.4064741125,9.59422110596,8.93054035575,10.1779520283
ABT-888.TEMOZOLOMIDE,10.0,250.0,3.58793035671,1.38270736114,90.7086741262,63.7985716976,3.888355872,78.53923929,13.8765319083,13.0234237151,14.655201646
ABT-888.TOPOTECAN,1.0,10.0,0.114983947923,1.56094640435,17.440743921,3.78255913396,1.52726108273,90.7617309958,-12.5191891117,-14.2858623613,-12.0859823594
ABT-888.VINBLASTINE,10.0,0.04,1.65093408036,0.242767928143,96.5588804921,0.0181630245714,4.5784795535,14.7207609979,-12.1732830196,-12.8601094075,-11.6986096932
ABT-888.VINORELBINE,10.0,0.04,3.31401833861,1.11025500328,90.8891526456,0.00664710805556,4.10747584789,25.5898932987,-8.72513191333,-9.95399840461,-7.47908236283
ABT-888.ZOLINZA,10.0,4.0,3.27355328236,0.77783605504,91.9848227688,1.63569358116,4.66018068928,13.0939292474,7.41402965456,6.46098917316,8.3400827218
AZD1775.BEZ-235,0.4,0.5,0.0599561718571,2.0106408869,26.3240143719,0.270602827667,6.3556686731,32.8085817795,14.6592557884,15.6676710704,27.207379641
AZD1775.BORTEZOMIB,0.04,0.5,0.00580312133333,5.04639481895,2.16990431171,0.24396427081,6.50370387295,35.0450471653,-8.40081396195,2.20758997557,9.27814814662
AZD1775.CARBOPLATIN,0.5,50.0,0.275630293769,5.4174135785,29.3564055762,25.5876118439,4.36918019012,48.3782607068,5.91192042408,10.4787161791,16.2592110525
AZD1775.CYCLOPHOSPHAMIDE,0.5,10.0,0.241229975619,6.46877766448,27.9380124749,1.33511803514,0.0474051879048,99.3500545719,5.07042732695,4.97886365352,5.13740179443
AZD1775.DASATINIB,3.0,0.5,0.350347539,2.26303503957,53.7462701596,0.286724797522,5.46800394361,27.1624372352,26.4760611867,20.6747543474,33.0808433617
AZD1775.DEXAMETHASONE,0.5,10.0,0.272175806864,4.83908335595,22.8783745024,1.59170454545,0.484370746909,94.2279365982,6.28755046168,4.7095328365,6.61228905095
AZD1775.DINACICLIB,0.04,0.5,0.0118238915833,3.476696206,8.47947212129,0.254220026083,5.67426711183,29.0830616443,-4.1019523815,5.56205764829,12.0124779775
AZD1775.DOXORUBICIN,0.5,0.3,0.261032248667,5.33865964417,28.4437359322,0.0578469023333,1.31554674633,7.34306660271,8.22895516637,7.61875604817,17.6344277946
AZD1775.ERLOTINIB,5.0,0.5,3.49043147505,4.37452026182,30.7098608398,0.278660078773,5.633119234,28.5153791723,4.65798184014,9.88819081259,17.7113520041
AZD1775.ETOPOSIDE,0.5,4.0,0.269283341042,5.94644635792,27.8764971267,1.05481609179,2.13028206987,26.2427422905,2.04403850146,4.60542900408,16.174850972
AZD1775.GELDANAMYCIN,2.0,0.5,0.494713866682,5.423544638,22.934929635,0.267720382727,5.84559839368,29.554855686,-3.61773446364,3.45711002564,11.7836330455
AZD1775.GEMCITABINE,0.5,0.01,0.261974202455,5.38276848955,29.8366410655,0.00206055477273,4.27371244841,22.2352771315,11.2570568402,11.3160004203,17.3923289875
AZD1775.L778123,0.5,5.0,0.286950117909,5.40701643545,26.6088209418,3.023085646,2.45422153118,48.8223666041,12.3322440002,12.0460013359,18.6825245188
AZD1775.LAPATINIB,5.0,0.5,3.60930598057,3.49654126983,54.2761078339,0.284523205609,6.46204688039,32.95025154,7.748559428,10.7120663675,16.3276162782
AZD1775.METFORMIN,0.5,250.0,0.263379286455,5.78570932114,29.4851790246,87.42393128,2.68941358745,92.1028407832,5.06726030036,4.89388312677,6.11957575514
AZD1775.METHOTREXATE,0.5,0.2,0.276272092412,6.496203152,33.6265778913,0.0442150654118,6.63735646735,30.7682434194,-7.03811971606,-4.09106929429,1.33288520176
AZD1775.MITOMYCINE,0.5,1.0,0.274783983458,6.57147180587,30.9355066633,0.172348090792,1.51422593863,26.2009828143,9.77534423638,10.4933675499,20.4964307573
AZD1775.MK-2206,4.0,0.5,1.13710830561,2.17239108461,55.1482435813,0.275703282261,6.20813131443,29.4582952591,11.1729144256,10.1767037145,19.4905851385
AZD1775.MK-4541,0.5,4.0,0.26665217512,5.26165453044,24.9451397149,2.05845288636,4.48145267932,90.7983677368,7.53321675452,6.85553631332,8.85901049932
AZD1775.MK-4827,10.0,0.5,5.12007088069,4.57475505835,52.2038960731,0.270326755731,6.27848131731,28.2332799138,15.2986967579,19.9324864714,26.0851109325
AZD1775.MK-5108,2.0,0.5,0.917666462593,4.24127639941,59.3610011531,0.26878586537,5.64647658667,30.6095233049,5.20733541981,6.61863924011,12.514826306
AZD1775.MK-8669,0.01,0.5,0.087887503913,4.88625436457,76.3377642943,0.275843761826,6.05206344722,31.7884204791,25.4128465467,21.4687183309,30.4402675635
AZD1775.MK-8776,4.0,0.5,0.688268576,2.78602625905,49.6032014658,0.249847405684,6.75452788853,32.2663796105,47.8688309732,48.7345679127,57.6754811295
AZD1775.MRK-003,0.5,10.0,0.279571400458,5.25573260133,25.9306319147,6.77332551279,5.00668593725,53.5376262773,3.30994912113,6.71903109871,11.9012140182
AZD1775.OXALIPLATIN,20.0,0.5,8.65856076124,4.18412830112,36.5575896736,0.25168550716,6.18651879532,32.2091889052,-4.31084691244,0.84088784492,7.90593147512
AZD1775.PACLITAXEL,0.5,0.04,0.27250717287,5.85657058622,30.4107141949,0.00554038447826,4.27871333322,22.707343299,-1.81448593683,5.26979640952,15.7937843061
AZD1775.PD325901,0.1,0.5,0.152222612522,1.03599930487,58.8603667057,0.284233574217,5.44937206904,28.2301753196,9.71499641357,5.83578605187,16.3715315682
AZD1775.SN-38,0.005,0.5,0.00328534591304,3.47127326496,38.2735943652,0.266840442522,6.17528490296,32.0805154952,1.28874972513,8.31861737361,13.6898905537
AZD1775.SORAFENIB,20.0,0.5,10.1076523989,5.10004104411,5.29491334616,0.272023142368,6.22077650932,35.9149310647,-2.73048555295,5.90299376626,9.39688545911
AZD1775.SUNITINIB,0.5,5.0,0.272844619565,5.78935634791,26.1003695823,3.47891119852,4.2358204743,27.3072204565,-1.96276124409,4.13367084196,8.44624082013
AZD1775.TEMOZOLOMIDE,0.5,250.0,0.275895364238,6.47828176152,31.4010281419,62.4695133576,4.45559365138,76.014721381,13.0717573062,15.2940018407,19.9917264198
AZD1775.TOPOTECAN,1.0,0.5,0.108409745211,1.57664460847,17.8033030644,0.255248173842,6.58651627463,35.2259851238,4.53655831179,3.94539683211,13.6567113133
AZD1775.VINBLASTINE,0.5,0.04,0.26668611288,5.51552209652,26.8536017769,0.01838153748,4.99637842596,13.9941315955,-1.30001350932,10.80773004,17.831906103
AZD1775.VINORELBINE,0.5,0.04,0.2811205979,5.4153420229,26.4083209806,0.0050006431,5.5274778728,24.2028676073,-12.2573354946,-2.2137011264,7.3832695256
AZD1775.ZOLINZA,0.5,4.0,0.267661996593,5.37137037707,26.3744814753,1.68312098056,4.16500961748,13.9515585075,5.66230224141,16.7240778659,23.1309770245
BEZ-235.BORTEZOMIB,0.4,0.04,0.049412434,2.13216512811,24.0369074309,0.00556671163158,4.15621404768,3.84591151647,4.931281899,6.00842946326,25.4837148586
BEZ-235.CARBOPLATIN,0.4,50.0,0.0625090945833,2.11091241242,23.1389375997,22.9153340502,5.30618980558,51.1428395061,9.08514688242,9.07141941217,19.9299319827
BEZ-235.CYCLOPHOSPHAMIDE,0.4,10.0,0.0608269946923,2.23750259377,24.7795395593,1.22816225265,0.426750344077,98.9491747115,7.92947525158,7.25585103281,7.96958141131
BEZ-235.DASATINIB,0.4,3.0,0.0594588263636,1.63764345295,26.3144803295,0.439924409955,1.73114167932,58.5717940582,29.6656247717,8.21403167432,35.893912784
BEZ-235.DEXAMETHASONE,0.4,10.0,0.06153213744,1.73392236424,25.8229817791,1.73560586068,0.46833707164,95.2869297852,11.4770731661,8.5768084032,11.6349211379
BEZ-235.DINACICLIB,0.04,0.4,0.0118311403462,4.01683285012,9.27484950765,0.0604448782308,1.71856518112,26.9477960247,4.76229327115,6.70743802388,22.839953677
BEZ-235.DOXORUBICIN,0.4,0.3,0.0560770734348,2.13558338148,25.7179644086,0.0565105886087,1.760297224,8.55354473996,3.28724536513,-9.01732447191,14.6066396694
BEZ-235.ERLOTINIB,0.4,5.0,0.0595928961304,2.00955056304,25.3109209798,3.00220772591,4.21798269061,32.8676470597,20.159319688,12.775692805,32.354167207
BEZ-235.ETOPOSIDE,0.4,4.0,0.0545696458889,2.01541063822,26.4848200401,0.95946572963,2.6955275377,27.0112228005,-5.25476215537,-17.6890586023,9.66386766607
BEZ-235.GELDANAMYCIN,0.4,2.0,0.064957953,2.10207232935,27.5496624318,0.4320882788,5.7373362146,26.5171869704,11.3144160445,6.7520842204,28.6758783319
BEZ-235.GEMCITABINE,0.4,0.01,0.0458137480526,2.09647358063,24.9832779484,0.00219879042105,4.92919923037,22.0426502635,5.334799918,-2.06218589321,12.8361089134
BEZ-235.L778123,0.4,5.0,0.0634147783913,1.69974959943,24.7908533169,2.84403251291,2.88143958478,48.5790946791,22.4733185036,12.942368994,28.9040566763
BEZ-235.LAPATINIB,0.4,5.0,0.0424149770741,2.01900247074,25.7408988821,3.36324501685,2.82721085826,52.6088394428,15.7946880009,7.74046188204,23.0861596805
BEZ-235.METFORMIN,0.4,250.0,0.0461220253636,1.64459172909,26.8467932046,82.6814085982,2.22494309291,93.4244167045,7.45662890336,6.06512498895,7.90551878318
BEZ-235.METHOTREXATE,0.4,0.2,0.06276124,1.99954594404,25.9997685118,0.0462411837826,6.52232979887,26.8137991909,-15.6098763457,-19.8809760352,-5.58790464957
BEZ-235.MITOMYCINE,0.4,1.0,0.0557459692609,2.07506715565,25.8424234527,0.175952102652,1.51353700909,28.7182919359,11.4990006609,-3.02013613935,23.9866275801
BEZ-235.MK-2206,0.4,4.0,0.05903777725,1.96664892757,24.8194179647,1.31162802754,2.31133301814,57.510223536,27.9848997076,15.4857353349,35.4140291005
BEZ-235.MK-4541,0.4,4.0,0.04759983625,1.59238516812,26.7762336521,1.92905658796,4.53066785363,91.5876183583,9.48562349904,6.84382825279,10.3297748881
BEZ-235.MK-4827,0.4,10.0,0.0458479854,2.04467467955,27.5894584934,4.89225860795,4.703208387,54.1498615445,6.7526100315,1.50919873495,15.9062488435
BEZ-235.MK-5108,0.4,2.0,0.0618860756957,2.01619022043,24.5693347903,0.943221196174,4.1883494003,62.1360818153,8.14563621539,2.81994204957,14.5888992463
BEZ-235.MK-8669,0.4,0.01,0.0389503792632,2.50125516832,26.7081946662,0.00121019831579,4.81952637637,72.4437568747,60.5121377521,45.2297047249,65.7220992511
BEZ-235.MK-8776,4.0,0.4,0.781348281053,2.95966462295,50.5083894374,0.0471815634211,1.79149927005,25.6266131917,0.568094024474,-10.1799985579,10.1240517804
BEZ-235.MRK-003,0.4,10.0,0.0668450732632,1.62695857368,25.6876400103,6.85747626811,3.76706911174,48.1106544039,17.3608615434,12.6530624363,25.3206909348
BEZ-235.OXALIPLATIN,20.0,0.4,8.00009109695,4.09893259833,33.6215574195,0.0565099945238,2.12192007614,24.8347816654,-0.730315962429,-5.56620760062,11.8622051311
BEZ-235.PACLITAXEL,0.4,0.04,0.06152308315,1.72138088465,27.9580663037,0.0058504861,3.88240848575,21.7054376678,-22.0929084569,-31.0221084842,-4.57084796445
BEZ-235.PD325901,0.4,0.1,0.0551353166087,2.12418220557,26.4089548799,0.113510066913,1.12738053717,53.1786201522,27.9080465659,11.2013332828,35.0854280243
BEZ-235.SN-38,0.005,0.4,0.0028216258,4.6512572774,42.9539507084,0.04328002108,1.95490646864,27.6660869589,7.12084779876,4.67623537496,18.8601307473
BEZ-235.SORAFENIB,20.0,0.4,8.75676203772,4.20932513622,5.10635292583,0.0634530612778,1.53612367672,29.1118129103,3.63840435856,3.45658947794,14.9433596202
BEZ-235.SUNITINIB,0.4,5.0,0.0604860366538,1.67927730092,26.0608452592,3.51495689181,3.61723178004,24.0656042365,14.1130858976,13.224174777,24.2464977365
BEZ-235.TEMOZOLOMIDE,0.4,250.0,0.0580464651739,1.75255471183,27.2387582277,44.6099643313,3.88503986443,77.6419256874,7.55689981165,2.36127976209,13.0650402617
BEZ-235.TOPOTECAN,0.4,1.0,0.0631444973043,2.01615536913,27.6607007254,0.103591403348,1.57625052287,17.7665166974,11.5400133595,-4.96683739183,22.5152793934
BEZ-235.VINBLASTINE,0.4,0.04,0.06128677884,1.66551529784,27.0542023262,0.02050533456,4.74149845648,11.6305628519,11.5495731772,12.4715726779,28.8353701988
BEZ-235.VINORELBINE,0.4,0.04,0.0643906727727,1.65722881073,26.9591643253,0.00673304881818,4.09425575064,25.2885640985,-8.70901428809,-16.4489773134,9.54929732036
BEZ-235.ZOLINZA,0.4,4.0,0.062149668,1.65210480096,25.4362135642,1.59019360467,5.04796397642,17.1207424282,5.75023624667,8.91176937392,24.077090445
BORTEZOMIB.CARBOPLATIN,0.04,50.0,0.00543501904348,4.40971401691,3.373582238,22.5581740382,4.80172084096,46.8231238611,-4.27126851204,2.20307916957,10.580216451
BORTEZOMIB.CYCLOPHOSPHAMIDE,0.04,10.0,0.006145858875,4.16603569612,3.53895110463,1.0,0.0,100.0,5.99800023044,5.99800023044,5.99800023044
BORTEZOMIB.DASATINIB,3.0,0.04,0.40262527355,1.46755009695,47.6902956715,0.00549176195,3.9656671691,2.926672044,11.560997455,0.5409251995,21.1400895735
BORTEZOMIB.DEXAMETHASONE,0.04,10.0,0.00589536672727,3.50028812959,2.99721649527,1.27320454545,0.468181818182,97.8618986995,5.55112217127,4.57417457336,5.62056497218
BORTEZOMIB.DINACICLIB,0.04,0.04,0.01346298825,3.82169413025,8.71342251475,0.00639909875,5.410745098,2.84560630092,-17.8570764889,3.20038090042,12.2671162939
BORTEZOMIB.DOXORUBICIN,0.04,0.3,0.005808081,5.93777866644,3.153288371,0.0541092722778,1.78293657928,9.05386988894,-7.90903859239,-3.50077857061,11.1744454977
BORTEZOMIB.ERLOTINIB,0.04,5.0,0.00569879981818,5.01133660227,2.84476399123,3.30250705205,4.02061615882,30.4058568257,-3.16240725045,3.23271303318,14.2280429527
BORTEZOMIB.ETOPOSIDE,0.04,4.0,0.00610847368421,3.72725820089,4.18480173653,1.03605276263,2.85150806489,30.365638098,-3.98829898542,-2.22920400374,14.9872629403
BORTEZOMIB.GELDANAMYCIN,2.0,0.04,0.372629913533,5.83462592593,27.614263845,0.00611484106667,4.16332871787,4.35334465807,-14.4187771437,-5.82473007053,9.5740194908
BORTEZOMIB.GEMCITABINE,0.04,0.01,0.00548599138889,5.21393370139,3.976762221,0.00191969633333,4.207431143,17.5855702236,-0.186589484056,1.3259114655,9.58005508022
BORTEZOMIB.L778123,0.04,5.0,0.00604570780769,4.81905140127,3.29965298442,2.61029610404,2.75396722212,46.3127803008,3.3308081155,0.968933741462,11.8528832423
BORTEZOMIB.LAPATINIB,0.04,5.0,0.00568486264706,5.32858216771,2.92978784947,2.70164609318,2.05894396959,55.1028545626,7.28568180765,4.76521819029,16.053117805
