COMBINATION_ID,MAX_CONC_B,MAX_CONC_A,IC50_B,H_B,Einf_B,IC50_A,H_A,Einf_A,SUM_SYN_ANT_LOEWE,SUM_SYN_ANT_BLISS,SUM_SYN_ANT_HSA
5-FU.ABT-888,10.0,10.0,1.0,0.0,100.0,3.277443615,1.469175186,45.26165668,1.374599427,-1.310598224,1.425280216
5-FU.AZD1775,0.5,10.0,0.236267293,3.560192058,28.68648592,3.598571877,1.463819478,39.7976804,8.319763748,9.458366533,17.78299818
5-FU.BEZ-235,0.4,10.0,0.039403796,1.453323164,22.71912265,4.156175921,1.469175186,39.7976804,2.305448289,-6.90770674,10.46879254
5-FU.BORTEZOMIB,0.04,10.0,0.005766459,2.002510174,1.8672515955,3.6607157655,1.4685787335,40.474999085,-0.933901182,-3.3369265515,10.4396201695
5-FU.DASATINIB,3.0,10.0,0.134898623,1.0589057295,54.612841185,3.4391922955,1.483214991,42.07240939,9.408125636,-3.719206631,15.528010305
5-FU.DINACICLIB,0.04,10.0,0.011449519,2.56205144,7.703104616,3.277443615,1.467982281,45.26165668,4.66363224,-0.860022549,13.64313978
5-FU.ERLOTINIB,5.0,10.0,4.379297838,1.281864077,20.94433559,3.279812714,1.467982281,42.99250101,13.34051621,7.03242481,22.18337718
5-FU.GELDANAMYCIN,2.0,10.0,0.267763617,3.646598064,22.2154231,3.279812714,1.497254796,39.38524174,3.061087835,-2.819001305,11.36205375
5-FU.L778123,5.0,10.0,2.3897010525,1.097599333,42.10266205,3.877373899,1.502574501,40.268779755,7.837174776,-3.862894069,12.603050245
5-FU.LAPATINIB,5.0,10.0,5.0,1.318832589,58.84233405,3.277443615,1.467982281,42.99250101,5.48351446,-2.502660554,10.10728164
5-FU.MK-2206,4.0,10.0,0.930834796,1.0906632385,64.97966243,3.2786281645,1.483214991,46.44293471,10.031183435,-0.849994905,13.976024135
5-FU.MK-4541,10.0,4.0,3.4391922955,1.4826185385,44.127078845,1.0,1.0920752585,92.487484775,1.6082653975,-0.4453025245,1.6082653975
5-FU.MK-4827,10.0,10.0,3.6727105185,2.8425003835,56.54954586,3.2786281645,1.4993042965,46.44293471,0.2505977035,-0.239638672,9.815137076
5-FU.MK-5108,2.0,10.0,0.712143442,2.261650136,61.96625215,3.722859654,1.497254796,48.33984502,3.69492843,1.270647615,11.46658935
5-FU.MK-8669,0.01,10.0,0.000694425,2.384792825,77.387387945,3.2786281645,1.5067360915,46.80075085,13.34972795,0.8968675105,19.3227468
5-FU.MK-8776,4.0,10.0,0.683849092,2.272269055,51.32875537,3.598571877,1.467982281,42.99250101,8.46676252,2.936104637,15.22532605
5-FU.MRK-003,10.0,10.0,3.277443615,1.467982281,45.26165668,5.610753619,2.081095091,55.34735326,2.661564839,0.385847552,9.272218311
5-FU.PD325901,0.1,10.0,0.007148892,1.1335671775,48.285533575,3.2786281645,1.4685787335,46.44293471,2.552812333,-6.703524734,8.501288312
5-FU.SORAFENIB,20.0,10.0,10.869520045,3.312982081,0.0,3.9492870655,1.437230811,50.85404675,1.8485732695,2.244116437,9.9184059495
5-FU.SUNITINIB,5.0,10.0,3.366808486,2.6987046325,15.19703864,3.2723322705,1.4659008795,42.07240939,7.6908380455,3.78954785,14.671940055
5-FU.TEMOZOLOMIDE,250.0,10.0,16.024461435,1.825226318,84.83635056,3.2723322705,1.5067360915,51.21186289,-7.0885612735,-11.74403768,-3.2459434775
5-FU.ZOLINZA,4.0,10.0,1.425944926,2.298177563,8.683921983,3.279812714,1.467982281,41.15231777,-0.634286388,2.130209245,12.58542797
ABT-888.AZD1775,10.0,0.5,1.0,0.0,100.0,0.233841629,4.074925086,24.05349402,4.106344679,3.876532499,4.106344679
ABT-888.BEZ-235,0.4,10.0,0.039403796,1.492343338,22.71912265,1.0,0.0,100.0,12.14965431,10.7810302,12.14965431
ABT-888.BORTEZOMIB,10.0,0.04,1.0,0.0,100.0,0.005086694,2.7667278815,2.1716316845,-6.6221772585,-6.6221772585,-6.6221772585
ABT-888.CARBOPLATIN,10.0,50.0,1.0,0.0,100.0,16.62678588,1.83352026,53.66287159,1.083449748,-0.583642331,1.083449748
ABT-888.CYCLOPHOSPHAMIDE,10.0,10.0,1.0,0.0,100.0,1.0,0.0,100.0,3.110597624,3.110597624,3.110597624
ABT-888.DASATINIB,10.0,3.0,1.0,0.0,100.0,0.1438215505,1.0591245575,49.362433835,2.5092315765,-1.485665937,2.5092315765
ABT-888.DEXAMETHASONE,10.0,10.0,1.0,0.0,100.0,1.0,0.0,100.0,-1.02415617,-1.02415617,-1.02415617
ABT-888.DINACICLIB,0.04,10.0,0.011449519,2.56205144,6.497412465,1.0,0.0,100.0,11.50550813,11.11073193,12.02728189
ABT-888.DOXORUBICIN,10.0,0.3,1.0,0.0,100.0,0.052226598,1.351090348,0.0,4.95801153,3.467129848,4.95801153
ABT-888.ERLOTINIB,10.0,5.0,1.0,0.0,100.0,4.5948414535,1.347627565,22.37577093,-1.3775596535,-2.4394136685,1.089809267
ABT-888.ETOPOSIDE,10.0,4.0,1.0,0.0,100.0,0.914491257,1.513184683,18.74818842,3.28230966,3.28230966,3.875823817
ABT-888.GELDANAMYCIN,2.0,10.0,0.313499574,2.675002039,22.75131466,1.0,0.0,100.0,8.587253758,5.532194005,8.959340145
ABT-888.GEMCITABINE,10.0,0.01,1.0,0.0,100.0,0.001499031,2.2994790345,18.34331663,-1.3676754515,-4.9013884395,-1.367414227
ABT-888.L778123,10.0,5.0,1.0,0.0,100.0,2.8426682315,1.135041581,48.193853135,2.0404571505,1.7526622225,2.840599214
ABT-888.LAPATINIB,10.0,5.0,1.0,0.0,100.0,5.0,1.345824261,58.84233405,-4.038762817,-4.038762817,-4.038762817
ABT-888.METFORMIN,10.0,250.0,1.0,0.0,100.0,250.0,1.115123791,89.98613249,-3.243157907,-3.243157907,-3.243157907
ABT-888.METHOTREXATE,10.0,0.2,1.0,0.0,100.0,0.030480359,10.0,17.205405105,-1.1973863485,-1.827466692,-0.9275470065
ABT-888.MITOMYCINE,10.0,1.0,1.0,0.0,100.0,0.103326224,1.567171358,33.7052575,1.224501648,-0.548443084,2.121875228
ABT-888.MK-2206,10.0,4.0,1.0,0.0,100.0,0.937148614,1.030844415,64.06371107,6.223000449,2.086486804,6.223000449
ABT-888.MK-4541,10.0,4.0,1.0,0.0,100.0,1.0,1.0920752585,92.829966955,-0.53206138,0.197707154,0.322073013
ABT-888.MK-4827,10.0,10.0,1.0,0.0,100.0,3.668645913,1.983716339,56.19533216,-6.008396242,-6.538448476,-4.82660751
ABT-888.MK-5108,10.0,2.0,1.0,0.0,100.0,0.65026385,2.604689067,70.89759062,7.769508902,7.769508902,7.882392091
