COMPOUND_A,MAX_CONC_B,MAX_CONC_A,IC50_B,H_B,Einf_B,IC50_A,H_A,Einf_A,SUM_SYN_ANT_LOEWE,SUM_SYN_ANT_BLISS,SUM_SYN_ANT_HSA
5-FU,16.1458130081,10.0,4.02381828095,3.4790188786,43.4683709292,4.48282530059,2.3019438128,42.8530953641,3.42382436244,-1.39602198282,10.5076619055
ABT-888,4.90402380952,10.0,2.10603274017,3.69388502446,31.0357028109,3.34925808302,1.20352799866,91.9284074262,4.15286981415,2.97422287502,5.07053809434
AZD1775,4.85746323529,0.5,2.15945272372,3.44048939786,42.3656545202,0.268210005287,6.06170600879,30.8606353033,8.24852752066,10.8820705134,18.3805573345
BEZ-235,7.86389908257,0.4,3.12704034265,4.02567110909,28.189186355,0.0539346977431,1.83306780125,26.8325098038,3.32834174061,0.396399553982,16.2916131104
BORTEZOMIB,5.09333333333,0.04,1.79516434311,3.02689954269,41.9099370791,0.00585000328495,4.35835111195,3.39177705846,-2.07668449726,-0.665440115156,12.2626147729
CARBOPLATIN,17.6547764228,50.0,4.72223950417,3.65553450365,42.42794631,23.7191262753,5.02977583641,50.2085493824,0.451766682945,1.11423054954,8.74502085817
CYCLOPHOSPHAMIDE,14.2338053097,10.0,4.33308561896,3.66688709185,42.7151715097,1.21264230118,0.318666206292,99.3720751591,3.95810546439,3.61892793788,3.98891030613
DASATINIB,5.67329831933,3.0,2.29987617732,3.54270416274,38.0711601648,0.451097232609,1.75755067089,55.8875306168,14.1738173861,2.92870037082,19.3066071584
DEXAMETHASONE,15.3519206681,10.0,3.97252632035,3.53716899099,42.3231432285,1.5867096401,0.6938580482,95.1689235066,3.12063114797,0.956476684827,3.33526012476
DINACICLIB,4.0,0.04,0.709853988692,3.28441520085,52.0624710015,0.0115441460769,3.4250247025,8.76778489642,4.26254632027,4.22025720042,15.1831265548
DOXORUBICIN,17.1846382979,0.3,4.48484778324,3.62031718582,43.277739279,0.0543036873468,1.83915335421,7.66759660446,2.20615500242,-3.27618607924,9.56765615759
ERLOTINIB,4.73528333333,5.0,1.92342057087,3.14973514344,37.0542058302,3.21339993882,3.67148698432,28.724108723,10.029279328,6.22083214619,19.8270756617
ETOPOSIDE,16.3626777251,4.0,3.53504321286,3.55200624749,42.8995535825,1.04057649605,2.58363235775,29.0965581309,4.32248736228,-0.89208888609,14.8068629942
GELDANAMYCIN,5.87829787234,2.0,2.72263795783,3.08364348566,25.6118157595,0.54373590617,5.72956679681,28.0494018321,0.415273362872,1.3699816128,14.9392596313
GEMCITABINE,16.9817679558,0.01,4.34817062818,3.58599735591,44.8555176299,0.00204990881492,4.70886605028,21.0680158054,4.00706380949,0.586728917414,8.54687557448
L778123,14.083559464,5.0,3.55962678667,3.61862293771,38.8132171139,2.67420474293,2.71714237722,49.1177334423,9.85946113419,4.37713346797,14.9650762598
LAPATINIB,4.81427648579,5.0,1.99306490516,3.35076980307,40.9171464577,3.27652983572,2.87210145082,52.0750028826,9.56446340018,4.19732174481,15.6479390711
