COMPOUND_A,MAX_CONC_B,MAX_CONC_A,IC50_B,H_B,Einf_B,IC50_A,H_A,Einf_A,SUM_SYN_ANT_LOEWE,SUM_SYN_ANT_BLISS,SUM_SYN_ANT_HSA
5-FU,4.0,10.0,0.9505997885,1.827971197,40.512617025,3.279812714,1.469175186,42.99250101,4.573433276,-0.4548004005,11.52867337
ABT-888,1.0,10.0,0.080877804,2.1212115205,23.333356015,1.0,0.0,100.0,5.722794785,4.3851138025,6.513286143
AZD1775,3.0,0.5,0.389690496,1.8690094085,38.439159105,0.236267293,7.075202536,26.78168024,6.818235521,9.1457155535,16.54561287
BEZ-235,4.0,0.4,0.382787577,2.436965921,21.43973405,0.039403796,1.453323164,23.64624806,6.299354365,3.358818379,18.78265126
BORTEZOMIB,2.0,0.04,0.102391703,1.8698032215,34.581138875,0.005754276,2.042741068,2.003211288,-2.982732239,-2.3709846995,11.26731608
CARBOPLATIN,4.0,50.0,0.939373527,1.9756707285,39.08165293,16.62678588,2.107993797,53.66287159,0.5463597735,0.668653029,8.256152276
CYCLOPHOSPHAMIDE,4.0,10.0,1.0,1.916146754,38.84169955,1.0,0.0,100.0,4.2443828035,3.981027161,4.2570844875
DASATINIB,1.0,3.0,0.1269249745,2.0661798585,29.831888585,0.110729841,1.069498498,49.362433835,13.47276401,2.868386647,19.51723512
DEXAMETHASONE,4.0,10.0,0.795697826,1.96227928,38.99423397,1.0,0.0,100.0,3.044958082,1.783368449,3.044958082
DINACICLIB,4.0,0.04,0.5695402215,2.213222512,53.07959469,0.0112526265,2.5356961845,5.4985037735,6.4210507775,3.3802880365,14.763100365
DOXORUBICIN,4.0,0.3,0.7911833285,1.968726121,40.40288923,0.052226598,1.351090348,0.0,1.390240353,-2.5507528895,9.1081670315
ERLOTINIB,1.0,5.0,0.0752004555,1.8792495155,30.282536495,4.379297838,1.289271169,20.94433559,10.80496377,7.0430051405,20.92012766
ETOPOSIDE,4.0,4.0,0.608062304,1.908528219,40.053108585,0.706745509,1.535331728,26.11936313,6.621676669,2.0103740235,16.956403095
GELDANAMYCIN,1.0,2.0,0.079859844,2.005138589,22.61043892,0.313499574,3.646598064,22.75131466,0.832622988,3.317678125,16.70311038
GEMCITABINE,3.5,0.01,0.556830224,1.940437725,41.70846535,0.001790428,2.654619535,17.99197951,3.621932868,0.2007931635,7.0727425085
L778123,3.0,5.0,0.461723915,1.925714601,34.01404002,2.19361832,1.213983185,50.86944642,9.60161069,5.11263521,15.26116707
LAPATINIB,2.0,5.0,0.277597719,1.867623614,34.98918764,5.0,1.318832589,57.8025905,8.976847554,5.07556921,15.61343773
METFORMIN,4.0,250.0,0.937148614,1.925714601,40.7876808,1.0,0.0,100.0,2.390577575,2.330764608,3.216717002
METHOTREXATE,4.0,0.2,0.937148614,1.841104706,43.80399876,0.038901915,7.023420876,17.22833745,-4.896802458,-7.420915409,-0.483086284
MITOMYCINE,4.0,1.0,0.8559657695,1.931710136,40.289797475,0.129922459,1.447632752,28.77322722,2.105357342,-2.914981428,10.20682974
MK-2206,2.0,4.0,0.1138149485,1.8727007295,27.94400194,0.937148614,1.097350523,64.06371107,16.814659415,7.9145299905,22.664384365
MK-4541,4.0,4.0,0.579714195,1.76008894,36.78702576,1.0,1.11392054,92.39067314,2.810122085,1.624363521,3.364897969
MK-4827,2.0,10.0,0.1269249745,1.7989735415,32.937434085,3.760179037,1.983716339,56.90375956,6.6502494015,3.394292812,13.480266315
MK-5108,2.0,2.0,0.2327518775,1.827971197,32.865251275,0.6516581485,2.435457865,67.02236824,5.985715153,3.4239946885,11.569315825
MK-8669,2.0,0.01,0.151094891,2.173630498,22.66681112,0.000820534,2.102832704,78.66141835,14.86999633,8.26693292,19.01054091
MRK-003,4.0,10.0,0.550621397,1.729457988,36.15893559,5.610753619,2.081952655,57.2359014,5.380926206,4.251336426,10.96063534
OXALIPLATIN,4.0,20.0,0.5199429845,2.6432810925,15.266143345,6.284384872,2.056504173,37.29650322,-3.5671301005,-2.4278274725,8.137941702
PACLITAXEL,4.0,0.04,0.968923778,1.9007684325,40.289797475,0.003074043,2.091980425,24.57451934,0.498713445,-3.2973516125,12.7423661
PD325901,1.0,0.1,0.0776143075,1.9991518435,26.1782075,0.00918619,1.140047562,49.30395914,6.6452147255,-1.7933807435,11.190226815
SN-38,4.0,0.005,0.551290847,2.5356961845,12.429146825,0.002183201,1.870395203,34.44719259,0.595596871,2.9978624395,11.256178
SORAFENIB,2.02,20.0,0.1317830735,2.386864718,21.4835133,10.2318603695,3.1662375315,0.0,-2.1414854675,7.2788025635,12.82197694
SUNITINIB,3.0,5.0,0.4277318105,1.8507549065,40.82291722,3.824096718,2.780818397,19.96217912,7.457909763,7.77169087,15.083511065
TEMOZOLOMIDE,2.0,250.0,0.382787577,1.888645165,37.31691831,14.91031578,1.911993368,87.39811291,3.503815043,1.997089371,6.869314264
TOPOTECAN,0.4,1.0,0.0785521285,2.4534035415,21.374470965,0.079662875,1.5908721515,15.1647899,3.4871712705,-1.825100413,15.08538024
VINBLASTINE,4.0,0.04,0.924520978,1.92308531,40.52943821,0.013918679,2.003887106,6.502713984,5.749151008,8.007632142,19.54358155
VINORELBINE,4.0,0.04,0.978246419,1.919785232,40.49579584,0.003498869,2.101836785,28.24560292,-6.044633206,-7.835850907,7.138228138
ZOLINZA,3.0,4.0,0.429616178,1.867623614,36.15893559,1.427083169,2.298177563,10.78345345,4.691575113,8.152517971,16.15620145
