,CELL_LINE_mean,CELL_LINE_median,COMPOUND_A_mean,COMPOUND_A_median,COMBINATION_ID_mean,COMBINATION_ID_median,CELL_LINE_COMPOUND_A_mean,CELL_LINE_COMPOUND_A_median
3948,9.01571872344,6.249504669,10.4595059299,11.8019769835,2.32893629277,2.643088013,23.0367136044,20.937229863
8631,4.15463741662,1.9484619455,6.55770411985,5.855080167,-0.123171935522,0.692991326,11.4626925756,7.861438124
8573,4.15463741662,1.9484619455,27.0150876559,26.416270105,20.1336931236,20.71493362,27.0708607517,31.294517885
15193,9.72315989101,9.6342076655,15.4911634711,11.3028662295,0.955996590556,1.106205493,15.1292837169,5.907027002
9723,5.23592990352,3.709561333,4.73776072515,7.454299657,3.467490511,5.5229585455,1.718284238,1.551638038
19018,1.04909560655,1.8113466365,7.59088806088,12.7204051425,4.76229327115,6.271647201,-108.406628805,-108.406628805
449,6.85457036193,5.57039376,1.73167319528,2.93798033,-5.1087534899,-1.989142213,-5.33831149825,-0.018302825
8506,4.15463741662,1.9484619455,10.1197049014,8.848150116,-6.48634456759,-6.860599949,9.55568743908,7.619156014
360,6.85457036193,5.57039376,8.40311461204,6.771166559,-3.75036179175,-2.230287475,18.628786434,16.181271285
17833,6.62936750103,5.881891471,0.28731147662,2.7322242645,-0.730315962429,-1.38137147,-6.6111384555,-3.168506339
12549,1.9373531548,2.338132247,12.5110738409,13.2392862985,-4.1019523815,-1.227367786,14.8404978898,11.38712337
3741,9.01571872344,6.249504669,16.3799723885,14.863004363,14.9803734912,13.52825008,7.66507771079,7.012268725
10222,1.82705168214,1.005401168,11.4991846453,10.889597529,-4.68776651115,-6.2924934285,3.99107776109,8.939300198
13689,1.3547021509,2.162119874,13.2832854966,14.175043966,4.53097458259,7.837174776,9.06073344919,7.017839197
1052,7.18502253668,5.740675769,7.77087754142,7.316948966,-1.81448593683,1.091985034,2.7165145844,-1.437218287
11235,-0.551025542248,1.6047392,8.32882326182,8.290532751,7.6950185057,6.798404572,-6.20787872608,-10.0839489205
14733,4.44570270266,4.369908838,6.97552780082,6.43744227957,3.52357201619,2.263588642,72.4482187441,72.3289686316
1340,12.6391440737,10.073495515,9.74723418337,8.0354550785,1.81486244815,4.7249969875,8.68110215645,1.775398759
16497,0.734227777422,2.73255688,-0.620423655124,-1.6427720225,-6.09910109052,-7.782224432,-16.1522378439,-17.4944902045
7128,4.72914776925,4.3960896255,13.217416313,11.734866161,20.5273582493,18.42777431,20.0133353891,10.309696884
6143,-0.163276863626,2.265196999,9.12586880959,7.375955506,-3.05848259356,-2.616571278,6.54661018491,-1.3988507155
19213,1.04909560655,1.8113466365,10.4886169996,9.572444425,24.1406867379,21.14972784,1.7761396051,-11.3556983735
18130,6.62936750103,5.881891471,8.40311461204,6.771166559,-3.75036179175,-2.230287475,11.7550887541,9.782578502
20463,4.31498569306,4.285537662,12.1609052181,9.4728864235,8.63129654574,10.85674278,7.55127587669,13.0435824495
17190,4.38859879502,4.16777977,11.7208894281,12.149484876,-4.55452217235,-2.241799551,9.12611986078,3.8153533505
1680,12.6391440737,10.073495515,5.83686540169,4.475177524,-0.977682056667,-1.680534832,30.495165163,34.3880511
14052,1.3547021509,2.162119874,10.0042991388,10.072501319,5.16797534008,4.7610308885,4.57568900077,6.477552666
18641,4.43922191963,3.589359821,11.6856004925,9.628357606,7.53321675452,7.066567775,10.3434647906,1.667825756
11403,-4.74695349039,-0.218869226,10.3112278171,10.1479704635,-5.3522401535,-3.278373512,-5.99838663016,2.3522099715
5099,3.08102136649,2.987977001,11.20002043,12.3730441865,-5.07382780472,-6.008396242,-5.34170878752,-4.0924710135
11260,-0.551025542248,1.6047392,5.09841773508,1.345685803,-1.8178307295,-0.6719971605,-10.842067882,-10.842067882
19521,1.04909560655,1.8113466365,-0.97183431952,1.413276557,-4.5393206241,2.26675378,9.92843901104,3.9729192825
6325,-0.163276863626,2.265196999,7.33498717004,6.818338141,2.34222278842,0.02353468,-30.5852708681,-7.9998599735
11045,-0.551025542248,1.6047392,14.5882297969,13.295464127,-0.10187290548,0.702131824,19.9061274645,22.7313265625
4903,3.08102136649,2.987977001,11.1327871221,9.9056339095,-7.59616584282,-4.2674433945,13.6280231272,8.643971568
18658,4.43922191963,3.589359821,21.969266707,17.680118415,7.52160260731,4.814467714,7.81830906645,3.137884273
14856,9.72315989101,9.6342076655,12.9882877626,13.55028083,3.70981164067,5.48351446,30.8616650407,33.191879355
9086,5.22814907377,4.655307064,6.9279706771,7.736533195,2.43443123188,5.649010531,7.55686984035,4.214098476
5998,-0.163276863626,2.265196999,7.57669417659,10.296228061,-0.409099642185,1.374599427,-9.23775070513,1.443646628
16189,0.734227777422,2.73255688,14.1821491421,16.527758555,1.34884643764,-1.3775596535,10.6699358453,18.519361889
5979,6.89882816312,7.092524496,10.854490145,11.3418245145,3.59378799517,-0.732536015,21.7236351134,21.283109325
9715,5.23592990352,3.709561333,11.2422011695,12.607391822,4.64259875838,7.195068142,31.2558911274,24.903680501
18678,4.43922191963,3.589359821,4.97046611864,3.6675171625,-6.11787018117,2.31040389,39.0469135976,35.71394556
18471,4.43922191963,3.589359821,8.96681004776,7.7481978465,2.71889142106,-0.5141985985,12.3927554584,11.06261958
20254,4.31498569306,4.285537662,17.2944485341,16.517722092,0.369644262321,0.823845053,18.7028933949,21.341413698
18802,4.43922191963,3.589359821,11.3456791604,12.910321112,-36.5396013585,-38.29919168,-3.3363508786,8.763893485
11879,-4.74695349039,-0.218869226,13.8387816868,12.3943657335,9.29454567367,6.63992742,5.43350192967,-3.601730795
10088,5.23592990352,3.709561333,-0.97183431952,1.413276557,-4.5393206241,2.26675378,0.02404225922,-2.174067499
19693,3.28899342444,3.109889877,6.46870132269,7.8112911305,-1.00118426212,0.373024445,22.507037091,20.9170940316
6894,4.72914776925,4.3960896255,11.3096969362,13.071300179,-0.0457903869615,-1.4770533345,12.7557693961,12.029139449
9531,5.22814907377,4.655307064,3.74361510348,7.131977353,11.3144160445,12.16759495,20.8198855127,24.49070944
883,7.18502253668,5.740675769,21.969266707,17.680118415,7.52160260731,4.814467714,28.492575818,16.791507797
5109,3.08102136649,2.987977001,4.00612035191,3.083119301,-5.97067235281,-5.963763213,-6.81698969977,-9.348502325
14823,4.44570270266,4.369908838,17.9811569152,18.164339123,5.47703025396,4.043309736,28.9084756087,31.362353908
977,7.18502253668,5.740675769,10.146439285,9.208813096,5.06726030036,4.8212703325,18.7781360708,14.175460774
12703,1.9373531548,2.338132247,12.2555913302,10.440168389,11.2570568402,11.551438945,-3.20963409834,-10.188310096
15562,8.71211425932,6.825018632,14.0310437102,11.3312785425,8.82972932095,9.5706331685,11.5078579545,10.578046628
5220,3.08102136649,2.987977001,9.56492735307,8.923592863,9.77534423638,9.151582387,12.2913075724,7.522941285
15336,9.72315989101,9.6342076655,4.11977264439,4.27956531,-4.65609107038,-4.316082667,20.074251882,20.074251882
8684,4.15463741662,1.9484619455,13.9668644231,12.6359645545,13.6306222992,15.05754606,7.68002293577,8.413239856
13176,12.1447419829,11.37988951,7.9928458639,7.191574499,-3.49784702183,-2.982373002,29.3910360572,26.5361386525
9002,5.22814907377,4.655307064,7.59088806088,12.7204051425,4.76229327115,6.271647201,19.279379834,19.061475677
377,6.85457036193,5.57039376,5.71930963038,5.879639651,10.4297638697,7.3348435345,-7.4006453716,-16.998230223
9450,5.22814907377,4.655307064,2.93202008611,0.521082804,-0.533579739619,-4.705480132,12.177395847,11.633114793
11863,-4.74695349039,-0.218869226,11.2925656123,9.32901667907,14.415004489,11.152704705,5.75783973534,2.44565902407
22188,5.94598722522,8.168204728,17.0764299439,17.4552131715,8.27835461533,7.983105803,26.8957279771,29.5297102
16118,0.734227777422,2.73255688,8.11097527854,9.9671775885,2.41988449436,3.110597624,12.4963175311,14.039790807
21039,4.73940872884,3.996830654,13.9668644231,12.6359645545,13.6306222992,15.05754606,22.177165162,19.399157018
8563,4.15463741662,1.9484619455,18.1079886549,16.419846211,12.3322440002,11.0426506,19.1658174411,19.4008870085
5463,6.89882816312,7.092524496,3.78010842356,6.8457141385,9.08514688242,9.853616741,22.9297491881,20.583608362
9151,5.22814907377,4.655307064,10.9267776167,9.607648021,2.471748165,3.235842778,7.59926515262,5.146335444
19215,1.04909560655,1.8113466365,14.8056548111,12.4640188245,0.483263487727,2.1354760795,11.6052660081,-0.78605707
