CELL_LINE.DRUG,SCORE
NCIH1650.BEZ-235,1.253375
OV90.SN-38,0.1775
NCIH1650.SN-38,0.3445
RKO.METHOTREXATE,0.67
UACC62.TOPOTECAN,0.1775
HCT116.MK-2206,1.1837579
NCIH1650.DOXORUBICIN,0.1775
NCIH23.ABT-888,4.5313143
RPMI7951.MK-4827,1.6013143
A375.DASATINIB,4.156
MSTO.5-FU,1.093
OCUBM.DOXORUBICIN,0.5775
UWB1289.LAPATINIB,1.213125
LOVO.MK-8776,0.907
UACC62.MK-8669,2.55
NCIH1650.MK-5108,0.8325
MDAMB436.5-FU,0.982
SKMEL30.PD325901,0.458
UWB1289.MK-8776,1.300625
PA1.ABT-888,1.415
NCIH23.BEZ-235,2.8495
ES2.GELDANAMYCIN,0.4305
MSTO.LAPATINIB,2.502
UACC62.SUNITINIB,2.566
LOVO.GEMCITABINE,14.783
ES2.TOPOTECAN,0.1775
HCT116.MK-8669,5.763
HT144.BEZ-235,0.827125
RKO.ERLOTINIB,11.29809375
HT29.AZD1775,1.447875
A2780.ABT-888,3.55046875
SW620.DASATINIB,4.5965
A427.ETOPOSIDE,0.458
UWB1289.SN-38,0.555
LOVO.SN-38,1.313
HT144.SUNITINIB,5.21
SKOV3.BEZ-235,2.827
PA1.ERLOTINIB,0.554
A2780.MK-2206,0.9307579
RKO.LAPATINIB,11.83059375
SKMES1.GEMCITABINE,0.536
UWB1289.GELDANAMYCIN,0.4305
NCIH2122.TOPOTECAN,1.21
MDAMB436.MK-4827,2.5803143
NCIH2122.ETOPOSIDE,0.458
OV90.MK-4827,0.5173143
OCUBM.ABT-888,0.86065805
VCAP.MK-2206,0.273125
HCT116.SUNITINIB,28.762
OCUBM.MK-4827,0.86065805
HT29.DINACICLIB,1.7335
T47D.DASATINIB,1.2585
HCT116.5-FU,4.87
T47D.MK-8776,1.0275
UACC62.GEMCITABINE,2.713
PA1.MK-4541,0.44
NCIH23.MK-8669,2.198875
SKMEL30.ERLOTINIB,1.310125
NCIH2122.ABT-888,3.7889393
VCAP.DINACICLIB,0.5325
VCAP.LAPATINIB,0.650625
NCIH520.AZD1775,0.836875
NCIH23.PD325901,0.458
SKMES1.DASATINIB,0.6835
