CELL_LINE.DRUG,GENEA,GENEB,SCORE,SOURCE,GENEA.GENEB
A2058.5-FU,ATR,TYMS,0.62,mutation,ATR.TYMS
A2058.5-FU,RNASEL,TYMS,0.5,mutation,RNASEL.TYMS
A2058.5-FU,TNNI3K,TYMS,0.461,mutation,TNNI3K.TYMS
A2058.ABT-888,ATR,PARP1,0.4305,mutation,ATR.PARP1
A2058.ABT-888,CHUK,PARP1,0.1775,mutation,CHUK.PARP1
A2058.ABT-888,PARP1,PTEN,0.810625,mutation,PARP1.PTEN
A2058.ABT-888,PARP1,TP53,0.5173143,mutation,PARP1.TP53
A2058.AZD1775,TP53,WEE1,0.836875,mutation,TP53.WEE1
A2058.BEZ-235,ATR,MTOR,0.56,mutation,ATR.MTOR
A2058.BEZ-235,ATR,PIK3CA,0.34334375,mutation,ATR.PIK3CA
A2058.BEZ-235,MTOR,PTEN,0.9,mutation,MTOR.PTEN
A2058.BEZ-235,MTOR,TP53,0.464375,mutation,MTOR.TP53
A2058.BEZ-235,PIK3CA,PTEN,0.4305,mutation,PIK3CA.PTEN
A2058.DASATINIB,EGR3,KIT,0.518,mutation,EGR3.KIT
A2058.DASATINIB,KIT,PGLS,0.581,mutation,KIT.PGLS
A2058.DASATINIB,KIT,PLCB1,0.443,mutation,KIT.PLCB1
A2058.DASATINIB,KIT,SORBS1,0.503,mutation,KIT.SORBS1
A2058.DASATINIB,KIT,TJP1,0.527,gex,KIT.TJP1
A2058.DASATINIB,KIT,TP53,0.1775,mutation,KIT.TP53
A2058.DINACICLIB,ATR,CDK1,0.1775,mutation,ATR.CDK1
A2058.DINACICLIB,CDK1,TP53,0.1775,mutation,CDK1.TP53
A2058.DINACICLIB,CDK2,TP53,0.1775,mutation,CDK2.TP53
A2058.DINACICLIB,CDK9,TP53,0.1775,mutation,CDK9.TP53
A2058.DOXORUBICIN,TOP1,TP53,0.1775,mutation,TOP1.TP53
A2058.ERLOTINIB,EGF,EGFR,0.1775,mutation,EGF.EGFR
A2058.ERLOTINIB,EGFR,RB1,0.1775,mutation,EGFR.RB1
A2058.ERLOTINIB,EGFR,RHBDL2,0.2,mutation,EGFR.RHBDL2
A2058.ERLOTINIB,EGFR,TP53,0.273125,mutation,EGFR.TP53
A2058.ETOPOSIDE,RB1,TOP2A,0.855,mutation,RB1.TOP2A
A2058.GELDANAMYCIN,HSP90AA1,TP53,0.4305,mutation,HSP90AA1.TP53
A2058.GEMCITABINE,ATR,CMPK1,0.62,mutation,ATR.CMPK1
A2058.GEMCITABINE,ATR,RRM1,0.62,mutation,ATR.RRM1
A2058.GEMCITABINE,ATR,TYMS,0.62,mutation,ATR.TYMS
A2058.GEMCITABINE,CMPK1,RNASEL,0.5,mutation,CMPK1.RNASEL
A2058.GEMCITABINE,CMPK1,TNNI3K,0.461,mutation,CMPK1.TNNI3K
A2058.GEMCITABINE,RNASEL,RRM1,0.5,mutation,RNASEL.RRM1
A2058.GEMCITABINE,RNASEL,TYMS,0.5,mutation,RNASEL.TYMS
