CELL_LINE.DRUG,GENEA,GENEB,SCORE,SOURCE
A2058.MK-4827,PARP1,PTEN,0.810625,mutation
A2058.MK-4827,CHUK,PARP1,0.1775,mutation
A2058.MK-4827,PARP1,TP53,0.5173143,mutation
A2058.MK-4827,ATR,PARP1,0.4305,mutation
A2058.SORAFENIB,EGR3,PDGFRA,0.518,mutation
A2058.SORAFENIB,EGR3,PDGFRB,0.518,mutation
A2058.SORAFENIB,EGR3,KIT,0.518,mutation
A2058.SORAFENIB,PDGFRA,PLCB1,0.443,mutation
A2058.SORAFENIB,PDGFRB,PLCB1,0.443,mutation
A2058.SORAFENIB,KIT,PLCB1,0.443,mutation
A2058.SORAFENIB,PDGFRB,TP53,0.4305,mutation
A2058.SORAFENIB,KDR,TP53,0.4305,mutation
A2058.SORAFENIB,KIT,TP53,0.1775,mutation
A2058.SORAFENIB,PDGFRA,PGLS,0.581,mutation
A2058.SORAFENIB,PDGFRB,PGLS,0.581,mutation
A2058.SORAFENIB,KIT,PGLS,0.581,mutation
A2058.SORAFENIB,PDGFRA,SORBS1,0.503,mutation
A2058.SORAFENIB,PDGFRB,SORBS1,0.503,mutation
A2058.SORAFENIB,KIT,SORBS1,0.503,mutation
A2058.ABT-888,PARP1,PTEN,0.810625,mutation
A2058.ABT-888,CHUK,PARP1,0.1775,mutation
A2058.ABT-888,PARP1,TP53,0.5173143,mutation
A2058.ABT-888,ATR,PARP1,0.4305,mutation
A2058.MK-8669,MTOR,PTEN,0.9,mutation
A2058.MK-8669,MTOR,TP53,0.464375,mutation
A2058.MK-8669,ATR,MTOR,0.56,mutation
A2058.GEMCITABINE,RNASEL,RRM1,0.5,mutation
A2058.GEMCITABINE,RNASEL,TYMS,0.5,mutation
A2058.GEMCITABINE,CMPK1,RNASEL,0.5,mutation
A2058.GEMCITABINE,ATR,RRM1,0.62,mutation
A2058.GEMCITABINE,ATR,TYMS,0.62,mutation
A2058.GEMCITABINE,ATR,CMPK1,0.62,mutation
A2058.GEMCITABINE,RRM1,TNNI3K,0.461,mutation
A2058.GEMCITABINE,TNNI3K,TYMS,0.461,mutation
A2058.GEMCITABINE,CMPK1,TNNI3K,0.461,mutation
A2058.SUNITINIB,EGR3,PDGFRA,0.518,mutation
A2058.SUNITINIB,EGR3,PDGFRB,0.518,mutation
A2058.SUNITINIB,EGR3,KIT,0.518,mutation
A2058.SUNITINIB,PDGFRA,PLCB1,0.443,mutation
A2058.SUNITINIB,PDGFRB,PLCB1,0.443,mutation
A2058.SUNITINIB,KIT,PLCB1,0.443,mutation
A2058.SUNITINIB,PDGFRB,TP53,0.4305,mutation
A2058.SUNITINIB,KDR,TP53,0.4305,mutation
A2058.SUNITINIB,KIT,TP53,0.1775,mutation
A2058.SUNITINIB,PDGFRA,PGLS,0.581,mutation
A2058.SUNITINIB,PDGFRB,PGLS,0.581,mutation
A2058.SUNITINIB,KIT,PGLS,0.581,mutation
A2058.SUNITINIB,PDGFRA,SORBS1,0.503,mutation
A2058.SUNITINIB,PDGFRB,SORBS1,0.503,mutation
A2058.SUNITINIB,KIT,SORBS1,0.503,mutation
A2058.ETOPOSIDE,RB1,TOP2A,0.855,mutation
A2058.LAPATINIB,EGF,EGFR,0.1775,mutation
A2058.LAPATINIB,EGFR,RHBDL2,0.2,mutation
A2058.LAPATINIB,EGFR,TP53,0.273125,mutation
A2058.LAPATINIB,ERBB2,TP53,0.1775,mutation
A2058.LAPATINIB,EGFR,RB1,0.1775,mutation
A2058.MK-2206,AKT1,TP53,0.273125,mutation
A2058.MK-2206,AKT1,BRAF,0.1775,mutation
A2058.DOXORUBICIN,TOP1,TP53,0.1775,mutation
A2058.DINACICLIB,CDK1,TP53,0.1775,mutation
A2058.DINACICLIB,CDK2,TP53,0.1775,mutation
A2058.DINACICLIB,CDK9,TP53,0.1775,mutation
A2058.DINACICLIB,ATR,CDK1,0.1775,mutation
A2058.MK-8776,CHEK1,TP53,0.85,mutation
A2058.MK-8776,ATR,CHEK1,0.34334375,mutation
A2058.MK-5108,AURKA,CYP3A5,0.5,mutation
A2058.GELDANAMYCIN,HSP90AA1,TP53,0.4305,mutation
A2058.5-FU,RNASEL,TYMS,0.5,mutation
A2058.5-FU,ATR,TYMS,0.62,mutation
A2058.5-FU,TNNI3K,TYMS,0.461,mutation
A2058.DASATINIB,EGR3,KIT,0.518,mutation
A2058.DASATINIB,KIT,PLCB1,0.443,mutation
A2058.DASATINIB,KIT,TP53,0.1775,mutation
A2058.DASATINIB,KIT,PGLS,0.581,mutation
A2058.DASATINIB,KIT,SORBS1,0.503,mutation
A2058.AZD1775,TP53,WEE1,0.836875,mutation
A2058.TOPOTECAN,TOP1,TP53,0.1775,mutation
A2058.BEZ-235,PIK3CA,PTEN,0.4305,mutation
A2058.BEZ-235,MTOR,PTEN,0.9,mutation
A2058.BEZ-235,MTOR,TP53,0.464375,mutation
A2058.BEZ-235,ATR,PIK3CA,0.34334375,mutation
A2058.BEZ-235,ATR,MTOR,0.56,mutation
A2058.SN-38,TOP1,TP53,0.1775,mutation
A2058.SN-38,RB1,TOP2A,0.855,mutation
A2058.ERLOTINIB,EGF,EGFR,0.1775,mutation
A2058.ERLOTINIB,EGFR,RHBDL2,0.2,mutation
A2058.ERLOTINIB,EGFR,TP53,0.273125,mutation
A2058.ERLOTINIB,EGFR,RB1,0.1775,mutation
A2780.VINORELBINE,KIFC1,TUBB,0.2,mutation
A2780.MK-4827,PARP1,PIK3CA,0.34334375,mutation
A2780.MK-4827,PARP1,PTEN,0.810625,mutation
A2780.MK-4827,PARP1,TNFRSF10B,0.56,mutation
A2780.MK-4827,PARP2,TNFRSF10B,0.551,mutation
A2780.MK-4827,NIPBL,PARP1,0.855,mutation
A2780.MK-4827,CASP8,PARP1,0.4305,mutation
A2780.SORAFENIB,CAPN6,PDGFRA,0.506,mutation
A2780.SORAFENIB,CAPN6,PDGFRB,0.506,mutation
A2780.SORAFENIB,CAPN6,KIT,0.506,mutation
A2780.SORAFENIB,LRRC37A,PDGFRA,0.515,mutation
A2780.SORAFENIB,LRRC37A,PDGFRB,0.515,mutation
A2780.SORAFENIB,KIT,LRRC37A,0.515,mutation
A2780.SORAFENIB,PDGFRA,UBA6,0.515,mutation
A2780.SORAFENIB,PDGFRB,UBA6,0.515,mutation
A2780.SORAFENIB,KIT,UBA6,0.515,mutation
A2780.SORAFENIB,AKR7A2,PDGFRA,0.503,mutation
A2780.SORAFENIB,AKR7A2,PDGFRB,0.503,mutation
A2780.SORAFENIB,AKR7A2,KIT,0.503,mutation
A2780.SORAFENIB,KDR,TNFRSF10B,0.554,mutation
A2780.SORAFENIB,PDGFRA,PYROXD1,0.503,mutation
A2780.SORAFENIB,PDGFRB,PYROXD1,0.503,mutation
A2780.SORAFENIB,KIT,PYROXD1,0.503,mutation
A2780.SORAFENIB,ITCH,PDGFRA,0.512,mutation
A2780.SORAFENIB,ITCH,PDGFRB,0.512,mutation
A2780.SORAFENIB,ITCH,KIT,0.512,mutation
A2780.SORAFENIB,CPSF1,PDGFRA,0.506,mutation
A2780.SORAFENIB,CPSF1,PDGFRB,0.506,mutation
A2780.SORAFENIB,CPSF1,KIT,0.506,mutation
A2780.SORAFENIB,ABCC10,KDR,0.473,mutation
A2780.ABT-888,PARP1,PIK3CA,0.34334375,mutation
A2780.ABT-888,PARP1,PTEN,0.810625,mutation
A2780.ABT-888,PARP1,TNFRSF10B,0.56,mutation
A2780.ABT-888,PARP2,TNFRSF10B,0.551,mutation
A2780.ABT-888,NIPBL,PARP1,0.855,mutation
A2780.ABT-888,CASP8,PARP1,0.4305,mutation
A2780.MK-8669,MTOR,PIK3CA,0.4305,mutation
A2780.MK-8669,MTOR,PTEN,0.9,mutation
A2780.MK-8669,MTOR,TNFRSF10B,0.554,mutation
A2780.GEMCITABINE,RRM1,TNFRSF10B,0.53,mutation
A2780.GEMCITABINE,KCND1,RRM1,0.5,mutation
A2780.GEMCITABINE,KCND1,TYMS,0.5,mutation
A2780.GEMCITABINE,CMPK1,KCND1,0.5,mutation
A2780.GEMCITABINE,ABCC10,RRM1,0.5,mutation
A2780.PACLITAXEL,KIFC1,TUBB,0.2,mutation
A2780.SUNITINIB,CAPN6,PDGFRA,0.506,mutation
A2780.SUNITINIB,CAPN6,PDGFRB,0.506,mutation
A2780.SUNITINIB,CAPN6,KIT,0.506,mutation
A2780.SUNITINIB,LRRC37A,PDGFRA,0.515,mutation
A2780.SUNITINIB,LRRC37A,PDGFRB,0.515,mutation
A2780.SUNITINIB,KIT,LRRC37A,0.515,mutation
A2780.SUNITINIB,PDGFRA,UBA6,0.515,mutation
A2780.SUNITINIB,PDGFRB,UBA6,0.515,mutation
A2780.SUNITINIB,KIT,UBA6,0.515,mutation
A2780.SUNITINIB,AKR7A2,PDGFRA,0.503,mutation
A2780.SUNITINIB,AKR7A2,PDGFRB,0.503,mutation
A2780.SUNITINIB,AKR7A2,KIT,0.503,mutation
A2780.SUNITINIB,KDR,TNFRSF10B,0.554,mutation
A2780.SUNITINIB,PDGFRA,PYROXD1,0.503,mutation
A2780.SUNITINIB,PDGFRB,PYROXD1,0.503,mutation
A2780.SUNITINIB,KIT,PYROXD1,0.503,mutation
A2780.SUNITINIB,ITCH,PDGFRA,0.512,mutation
A2780.SUNITINIB,ITCH,PDGFRB,0.512,mutation
A2780.SUNITINIB,ITCH,KIT,0.512,mutation
A2780.SUNITINIB,CPSF1,PDGFRA,0.506,mutation
A2780.SUNITINIB,CPSF1,PDGFRB,0.506,mutation
A2780.SUNITINIB,CPSF1,KIT,0.506,mutation
A2780.SUNITINIB,ABCC10,KDR,0.473,mutation
A2780.LAPATINIB,EGFR,PIK3CA,0.1775,mutation
A2780.LAPATINIB,ERBB2,PIK3CA,0.1775,mutation
A2780.LAPATINIB,EGFR,EPHB2,0.2,mutation
A2780.LAPATINIB,EGFR,TNFRSF10B,0.512,mutation
A2780.LAPATINIB,ERBB2,PLCG1,0.1775,mutation
A2780.LAPATINIB,EGFR,SMARCA4,0.1775,mutation
A2780.MK-2206,AKT1,PIK3CA,0.3982579,mutation
A2780.MK-2206,AKT1,TNFRSF10B,0.1775,mutation
A2780.MK-2206,AKT1,CASP8,0.1775,mutation
A2780.MK-2206,AKT1,BRAF,0.1775,mutation
A2780.DOXORUBICIN,DNMT1,STIL,0.2,mutation
A2780.DINACICLIB,CDK1,STIL,0.203,mutation
A2780.DINACICLIB,CDK2,TNFRSF10B,0.557,mutation
A2780.MK-8776,CHEK1,PIK3CA,0.1775,mutation
A2780.MK-8776,CHEK1,NOL11,0.176,mutation
A2780.MK-8776,CHEK1,RBBP8,0.1775,mutation
A2780.MK-8776,ABCC10,CHEK1,0.647,mutation
A2780.MK-5108,ABCC10,AURKA,0.605,mutation
A2780.5-FU,KCND1,TYMS,0.5,mutation
A2780.DASATINIB,CAPN6,KIT,0.506,mutation
A2780.DASATINIB,KIT,LRRC37A,0.515,mutation
A2780.DASATINIB,KIT,UBA6,0.515,mutation
A2780.DASATINIB,AKR7A2,KIT,0.503,mutation
A2780.DASATINIB,SRC,TNFRSF10B,0.1775,mutation
A2780.DASATINIB,KIT,PYROXD1,0.503,mutation
A2780.DASATINIB,ITCH,KIT,0.512,mutation
A2780.DASATINIB,CPSF1,KIT,0.506,mutation
A2780.DASATINIB,CASP8,SRC,0.1775,mutation
A2780.BEZ-235,PIK3CA,PIK3CB,0.56,mutation
A2780.BEZ-235,MTOR,PIK3CA,0.4305,mutation
A2780.BEZ-235,PIK3CA,PTEN,0.4305,mutation
A2780.BEZ-235,MTOR,PTEN,0.9,mutation
A2780.BEZ-235,MTOR,TNFRSF10B,0.554,mutation
A2780.ERLOTINIB,EGFR,PIK3CA,0.1775,mutation
A2780.ERLOTINIB,EGFR,EPHB2,0.2,mutation
A2780.ERLOTINIB,EGFR,TNFRSF10B,0.512,mutation
A2780.ERLOTINIB,EGFR,SMARCA4,0.1775,mutation
A375.MK-4827,MTOR,PARP1,0.557,mutation
A375.MK-4827,MTOR,PARP2,0.557,mutation
A375.SORAFENIB,ACSL1,PDGFRA,0.551,mutation
A375.SORAFENIB,ACSL1,PDGFRB,0.551,mutation
