,CELL_LINE,COMPOUND_A,COMPOUND_B,MAX_CONC_A,MAX_CONC_B,IC50_A,H_A,Einf_A,IC50_B,H_B,Einf_B,SUM_SYN_ANT_SAN,SUM_SYN_ANT_LOEWE,SUM_SYN_ANT_BLISS,SUM_SYN_ANT_HSA,QA,BatchID,COMBINATION_ID
8631,LOVO,MK-4541,DEXAMETHASONE,4.0,10.0,0.087538772,1.06259322,90.8569488,0.0035,0.1,79.91763939,0,14.47775664,-2.702848849,14.47775664,1,1,DEXAMETHASONE.MK-4541
8573,LOVO,L778123,MK-2206,5.0,4.0,0.313159157,10.0,51.24754861,0.114550605,0.720572943,26.15998367,0,26.3698053,-13.36809403,28.00234482,1,1,L778123.MK-2206
15193,PA1,MK-8669,OXALIPLATIN,0.01,20.0,0.000536966,10.0,85.69719959,1.656636334,1.486071004,5.425252084,0,-10.46857884,-18.64510016,-10.46857884,1,1,MK-8669.OXALIPLATIN
9723,MSTO,ETOPOSIDE,GELDANAMYCIN,4.0,2.0,0.350938493,1.09698789,11.12695546,0.462731818,1.519972672,24.33513623,0,-23.18094319,-36.43155341,-7.606771274,1,1,ETOPOSIDE.GELDANAMYCIN
1052,A2780,PACLITAXEL,AZD1775,0.04,0.5,0.001721701,10.0,17.00848006,0.465104939,1.508113113,0.0,0,-21.99579308,-4.658857032,6.970185491,1,1,AZD1775.PACLITAXEL
14733,OVCAR3,SN-38,MK-8776,0.005,4.0,0.000123162,10.0,72.4817766,0.464345644,2.756344157,25.42479539,0,66.53201497,46.78804045,68.76238831,1,1,MK-8776.SN-38
16497,RPMI7951,PACLITAXEL,SORAFENIB,0.04,20.0,0.001681941,10.0,0.0,10.67213935,3.415937349,0.0,0,-26.9834176,-2.445531475,3.315263344,1,1,PACLITAXEL.SORAFENIB
7128,HT29,VINBLASTINE,MK-5108,0.04,2.0,0.008721689,10.0,19.60282911,0.828149466,10.0,87.19686992,0,61.13278931,61.23910039,63.47135187,1,1,MK-5108.VINBLASTINE
6143,HT144,DOXORUBICIN,MK-5108,0.3,2.0,0.094969455,1.101610439,0.0,2.0,1.761202218,50.81535916,0,-12.77677084,-14.6183899,-7.490275667,1,1,DOXORUBICIN.MK-5108
19213,SW837,LAPATINIB,SN-38,5.0,0.005,5.0,0.478748874,4.935309315,0.001450819,10.0,63.68866981,0,39.01799755,29.71367205,49.6724218,1,1,LAPATINIB.SN-38
18130,SKOV3,MRK-003,DOXORUBICIN,10.0,0.3,10.0,3.720052352,78.41020012,0.072618224,2.731168275,16.36407121,0,-21.24679835,-18.48632726,-16.79941524,1,1,DOXORUBICIN.MRK-003
19521,SW837,VINORELBINE,SUNITINIB,0.04,5.0,0.008418483,1.668622658,38.66693929,4.902784507,10.0,0.0,0,13.43497248,21.47993696,24.34859486,1,1,SUNITINIB.VINORELBINE
11045,NCIH2122,MK-4827,PD325901,10.0,0.1,6.469999429,1.063683171,72.45802623,0.024841707,1.190020387,53.35652855,0,12.05515175,4.594530204,16.65744121,1,1,MK-4827.PD325901
4903,ES2,DASATINIB,OXALIPLATIN,3.0,20.0,0.744653232,9.999999999,90.09579136,8.085367469,10.0,52.39710613,0,-23.85511695,-20.49470927,-18.65727103,1,1,DASATINIB.OXALIPLATIN
14856,PA1,5-FU,LAPATINIB,10.0,5.0,1.893809545,1.406479341,17.53436295,4.999447668,9.999999972,66.61665012,0,12.27139787,13.26719112,17.20559218,1,1,5-FU.LAPATINIB
16189,RPMI7951,ERLOTINIB,ABT-888,5.0,10.0,4.379297838,1.492341818,0.0,1.0,0.0,100.0,0,-10.0453202,-10.0453202,-10.0453202,1,1,ABT-888.ERLOTINIB
