,CELL_LINE,COMPOUND_A,COMPOUND_B,MAX_CONC_A,MAX_CONC_B,IC50_A,H_A,Einf_A,IC50_B,H_B,Einf_B,SUM_SYN_ANT_SAN,SUM_SYN_ANT_LOEWE,SUM_SYN_ANT_BLISS,SUM_SYN_ANT_HSA,QA,BatchID,COMBINATION_ID
18990,SW837,5-FU,GELDANAMYCIN,10.0,2.0,1.751217753,1.162933297,41.15231777,0.103979905,10.0,29.40630103,0,-28.72825371,-37.71681309,-11.76211017,1,1,5-FU.GELDANAMYCIN
6177,HT144,ETOPOSIDE,MK-8776,4.0,4.0,0.445445418,0.931500559,48.6497996,0.438040073,2.063593968,65.51250163,0,20.26441556,-5.872463156,25.69481274,1,1,ETOPOSIDE.MK-8776
956,A2780,MRK-003,MK-2206,10.0,4.0,6.565226945,1.871427734,42.52617738,0.333903704,1.447665457,51.58956062,0,27.04419137,21.82581516,37.15646219,1,1,MK-2206.MRK-003
14626,OVCAR3,MRK-003,PD325901,10.0,0.1,0.587964659,2.963516773,68.06153173,0.006938836,1.51748287,74.17604956,0,44.72812108,19.66615544,46.62452997,1,1,MRK-003.PD325901
15500,RKO,BEZ-235,MK-8776,0.4,4.0,0.023979506,1.651382462,47.62224428,0.37875908,1.799934519,47.48197238,0,56.97251397,27.86702599,67.31463972,1,1,BEZ-235.MK-8776
10664,NCIH1650,VINBLASTINE,L778123,0.04,5.0,0.035265222,2.007607133,0.0,5.0,0.407740322,36.78702576,0,31.03221072,26.50041484,33.93170602,1,1,L778123.VINBLASTINE
18437,SW620,CARBOPLATIN,BORTEZOMIB,50.0,0.04,50.0,1.58690791,32.08395417,0.008343679,1.96227928,0.0,0,26.0831433,30.40410377,38.35217491,1,1,BORTEZOMIB.CARBOPLATIN
4903,ES2,DASATINIB,OXALIPLATIN,3.0,20.0,0.744653232,9.999999999,90.09579136,8.085367469,10.0,52.39710613,0,-23.85511695,-20.49470927,-18.65727103,1,1,DASATINIB.OXALIPLATIN
8792,LOVO,MITOMYCINE,MK-8669,1.0,0.01,0.597884092,1.077961393,0.0,0.000538353,2.102832704,72.35505037,0,24.28074844,3.402265515,28.61516635,1,1,MITOMYCINE.MK-8669
3889,DLD1,MK-4541,PD325901,4.0,0.1,4.0,10.0,87.79445753,1.0,0.0,100.0,0,21.19032236,21.19032236,21.19032236,1,1,MK-4541.PD325901
919,A2780,MK-5108,DASATINIB,2.0,3.0,0.504400142,1.55405091,43.64959764,0.021728225,1.676561871,76.04435925,0,50.85904922,22.47326664,52.79942393,1,1,DASATINIB.MK-5108
14879,PA1,AZD1775,BEZ-235,0.5,0.4,0.232505379,10.0,48.57788165,0.047322894,1.299053592,27.47580621,0,23.40377526,31.85593906,41.25728118,1,1,AZD1775.BEZ-235
6848,HT29,MK-2206,PD325901,4.0,0.1,0.387016605,1.369407327,71.43174346,0.006286773,1.517561129,29.97851036,0,35.85297851,11.93369567,37.72616076,1,1,MK-2206.PD325901
5665,HCT116,MK-2206,GELDANAMYCIN,4.0,2.0,1.0,0.0,100.0,0.574304613,4.19195591,30.5290161,0,33.69692205,33.69692205,33.69692205,1,1,GELDANAMYCIN.MK-2206
1245,A375,BORTEZOMIB,DASATINIB,0.04,3.0,0.00958092,10.0,1.597098622,1.074238912,1.723947971,54.24317801,0,28.56233547,33.26865131,42.11652713,1,1,BORTEZOMIB.DASATINIB
15060,PA1,L778123,AZD1775,5.0,0.5,1.816392559,1.054759976,38.99423397,0.232505379,10.0,48.57788165,0,20.39249936,25.2112988,31.38174409,1,1,AZD1775.L778123
15418,PA1,VINORELBINE,SORAFENIB,0.04,20.0,0.001724963,10.0,1.692265176,5.495941128,3.567795377,0.0,0,-20.93687717,-4.886862324,0.966843546,1,1,SORAFENIB.VINORELBINE
