,CELL_LINE,COMPOUND_A,COMPOUND_B,MAX_CONC_A,MAX_CONC_B,IC50_A,H_A,Einf_A,IC50_B,H_B,Einf_B,SUM_SYN_ANT_SAN,SUM_SYN_ANT_LOEWE,SUM_SYN_ANT_BLISS,SUM_SYN_ANT_HSA,QA,BatchID,COMBINATION_ID
3769,DLD1,ERLOTINIB,GELDANAMYCIN,5.0,2.0,4.645981859,1.080847422,0.0,0.389290728,1.558975138,48.47430332,0,36.14346267,27.83350373,46.85133905,1,1,ERLOTINIB.GELDANAMYCIN
20635,UACC62,TEMOZOLOMIDE,ERLOTINIB,250.0,5.0,49.2149162,1.738459268,73.96300333,3.243922322,1.226950001,16.77527209,0,31.09965923,23.95444975,38.52773936,1,1,ERLOTINIB.TEMOZOLOMIDE
1429,A375,LAPATINIB,DINACICLIB,5.0,0.04,1.0,0.0,100.0,0.012910902,3.244030646,7.29614007,0,29.28588209,29.28588209,29.28588209,1,1,DINACICLIB.LAPATINIB
4145,DLD1,VINORELBINE,LAPATINIB,0.04,5.0,0.035792086,1.90221198,39.73794881,5.0,0.734410513,69.41530848,0,38.53102626,36.16417997,42.83714258,1,1,LAPATINIB.VINORELBINE
15119,PA1,MK-2206,GELDANAMYCIN,4.0,2.0,4.0,1.386792155,73.45705124,2.0,10.0,66.80882581,0,20.97251824,23.31786292,25.07917702,1,1,GELDANAMYCIN.MK-2206
20077,T47D,VINBLASTINE,LAPATINIB,0.04,5.0,0.019087428,0.557574071,0.0,0.366750114,0.709811048,33.895983,0,-31.42839582,-74.91146692,-21.83364657,1,1,LAPATINIB.VINBLASTINE
10455,NCIH1650,MK-5108,MK-8669,2.0,0.01,2.0,1.032189821,61.96625215,0.001358444,0.812534979,75.9399994,0,24.2739052,14.68918816,28.22200783,1,1,MK-5108.MK-8669
466,A2058,PACLITAXEL,AZD1775,0.04,0.5,0.00174896,10.0,1.723012934,0.212832215,10.0,26.78168024,0,-29.72483852,-2.750865301,3.812999978,1,1,AZD1775.PACLITAXEL
14792,OVCAR3,VINBLASTINE,MK-8669,0.04,0.01,0.011309424,2.129466229,0.0,0.000695729,1.617905165,67.02791938,0,31.33794582,15.58349694,35.91890111,1,1,MK-8669.VINBLASTINE
22161,VCAP,MK-4541,LAPATINIB,4.0,5.0,0.305830359,3.46434626,86.24589986,0.591393554,1.76008894,87.12517882,0,29.87329418,20.66565591,33.20535356,1,1,LAPATINIB.MK-4541
11267,NCIH2122,VINBLASTINE,ERLOTINIB,0.04,5.0,0.00915818,10.0,13.69524551,1.832641816,1.295925477,17.31900126,0,46.4865841,72.55800917,84.20021803,1,1,ERLOTINIB.VINBLASTINE
11036,NCIH2122,MK-4827,BORTEZOMIB,10.0,0.04,6.469999429,1.063683171,72.45802623,0.009790456,10.0,13.19441142,0,34.10303839,30.94532607,36.57143362,1,1,BORTEZOMIB.MK-4827
19392,SW837,MITOMYCINE,MK-2206,1.0,4.0,0.294926288,0.779094315,14.26280299,0.206308566,10.0,65.97735249,0,32.15586561,6.064951381,39.46897564,1,1,MITOMYCINE.MK-2206
18135,SKOV3,MRK-003,LAPATINIB,10.0,5.0,10.0,3.720052352,78.41020012,0.266342994,1.345824261,66.50553236,0,24.58000398,23.78990839,27.53616134,1,1,LAPATINIB.MRK-003
6457,HT144,PACLITAXEL,MK-8669,0.04,0.01,0.0050512,1.34513379,29.50434466,0.000537102,10.0,83.73656891,0,31.94673495,16.51627197,36.14719613,1,1,MK-8669.PACLITAXEL
16630,SKMEL30,5-FU,MK-8669,10.0,0.01,3.267220926,10.0,64.80363476,0.000562442,10.0,92.29145298,0,25.93301217,23.25939516,28.12740932,1,1,5-FU.MK-8669
10378,NCIH1650,MK-2206,BEZ-235,4.0,0.4,4.0,0.67697761,31.23268828,0.026192381,2.282002176,42.52027988,0,25.29256951,9.659858457,35.19605337,1,1,BEZ-235.MK-2206
8953,LOVO,GELDANAMYCIN,SORAFENIB,2.0,20.0,2.0,10.0,2.010397052,7.311120444,6.725176024,11.37842292,0,-22.12371217,-9.793059001,-8.196654151,1,1,GELDANAMYCIN.SORAFENIB
19322,SW837,MRK-003,LAPATINIB,10.0,5.0,4.985623296,2.959677302,62.23236391,5.0,0.478748874,4.935309315,0,39.88098803,32.94035513,46.18664976,1,1,LAPATINIB.MRK-003
10681,NCIH1650,VINORELBINE,DASATINIB,0.04,3.0,0.009176446,1.563571522,34.55963019,0.029360868,0.700151392,20.38356087,0,23.48138375,-3.2656022,28.83474508,1,1,DASATINIB.VINORELBINE
9676,MSTO,DOXORUBICIN,DASATINIB,0.3,3.0,0.019576934,1.253194512,18.9094291,0.045772073,1.257720915,32.80229796,0,33.39608286,-6.294250707,39.49118386,1,1,DASATINIB.DOXORUBICIN
357,A2058,MRK-003,DASATINIB,10.0,3.0,10.0,10.0,86.40081666,0.025977973,1.019602605,91.46819517,0,27.23974149,25.11133577,28.1108152,1,1,DASATINIB.MRK-003
21080,UWB1289,MRK-003,OXALIPLATIN,10.0,20.0,4.13902848,4.546744191,40.33343852,3.224223076,1.06260383,28.35061356,0,-21.89546459,-22.45520778,-11.03631764,1,1,MRK-003.OXALIPLATIN
14595,OVCAR3,MK-8669,MK-8776,0.01,4.0,0.000695729,1.617905165,67.02791938,0.464345644,2.756344157,25.42479539,0,32.87123517,19.08121821,39.75751491,1,1,MK-8669.MK-8776
5822,HCT116,METHOTREXATE,GELDANAMYCIN,0.2,2.0,0.01294925,10.0,14.14597159,0.574304613,4.19195591,30.5290161,0,-29.95348932,-30.5878143,-23.57022812,1,1,GELDANAMYCIN.METHOTREXATE
14890,PA1,AZD1775,MK-8669,0.5,0.01,0.232505379,10.0,48.57788165,0.000536966,10.0,85.69719959,0,29.46282664,28.70790695,34.57351314,1,1,AZD1775.MK-8669
8414,LOVO,BORTEZOMIB,SN-38,0.04,0.005,0.009431599,2.042741068,0.0,0.005,1.443450566,34.44719259,0,34.56740361,38.35792701,46.20110872,1,1,BORTEZOMIB.SN-38
15760,RKO,MK-4827,SN-38,10.0,0.005,7.236786464,1.373668855,35.65022156,0.001790296,10.0,63.39789116,0,36.32836854,44.28047986,49.70975395,1,1,MK-4827.SN-38
13224,OCUBM,DEXAMETHASONE,MK-8669,10.0,0.01,1.0,0.0,100.0,0.000572526,3.994336344,22.3452615,0,37.40313249,37.40313249,37.40313249,1,1,DEXAMETHASONE.MK-8669
16835,SKMEL30,L778123,MK-8669,5.0,0.01,2.511332239,1.440093098,32.86517938,0.000562442,10.0,92.29145298,0,40.38550558,33.75296217,41.01148377,1,1,L778123.MK-8669
1534,A375,MK-8669,SORAFENIB,0.01,20.0,1.0,0.0,100.0,13.16779074,3.187850242,0.0,0,25.92609528,25.92609528,25.92609528,1,1,MK-8669.SORAFENIB
11439,NCIH23,DASATINIB,MK-8669,3.0,0.01,0.102331447,0.938147333,70.46496068,0.000735258,1.638180792,75.33258112,0,52.63454839,19.56284695,55.92091417,1,1,DASATINIB.MK-8669
4932,ES2,DOXORUBICIN,BORTEZOMIB,0.3,0.04,0.067056115,1.438755694,14.07723803,0.010181121,10.0,4.299070337,0,-25.23666575,-3.172213443,7.420269961,1,1,BORTEZOMIB.DOXORUBICIN
2390,A427,GELDANAMYCIN,MK-8776,2.0,4.0,0.267763617,1.599646228,22.2154231,0.330904094,10.0,63.50630177,0,20.6332376,7.206961069,30.89789073,1,1,GELDANAMYCIN.MK-8776
14101,OV90,MITOMYCINE,L778123,1.0,5.0,0.090676144,1.336619193,19.41672415,1.741004923,10.0,72.40380765,0,-29.15335201,-37.40183677,-27.47948771,1,1,L778123.MITOMYCINE
16571,RPMI7951,VINORELBINE,AZD1775,0.04,0.5,0.001747825,10.0,2.515976949,0.222065253,4.074925086,21.21454364,0,-30.22880054,-4.96564711,2.395237646,1,1,AZD1775.VINORELBINE
12926,NCIH520,METHOTREXATE,ZOLINZA,0.2,4.0,0.041352254,10.0,23.22315421,1.312008147,10.0,30.89781384,0,-37.13572523,-16.71536953,-11.65721281,1,1,METHOTREXATE.ZOLINZA
18240,SKOV3,PACLITAXEL,MK-2206,0.04,4.0,0.003074043,2.091980425,43.53731291,1.303874047,0.954044166,46.21395859,0,30.98579575,15.03735729,41.10528562,1,1,MK-2206.PACLITAXEL
9592,MSTO,BORTEZOMIB,DASATINIB,0.04,3.0,0.009499503,10.0,2.291517547,0.045772073,1.257720915,32.80229796,0,45.27304579,41.26151882,61.47733688,1,1,BORTEZOMIB.DASATINIB
11823,NCIH23,SUNITINIB,DASATINIB,5.0,3.0,4.923106321,2.033612723,0.0,0.102331447,0.938147333,70.46496068,0,29.1081418,19.66282591,33.86690223,1,1,DASATINIB.SUNITINIB
80,A2058,CARBOPLATIN,MK-8776,50.0,4.0,14.6845894,10.0,35.30135498,0.47221428,2.267968461,69.4464428,0,37.05728141,39.55054426,49.05391574,1,1,CARBOPLATIN.MK-8776
553,A2058,VINBLASTINE,TEMOZOLOMIDE,0.04,250.0,0.009203083,10.0,6.502713984,17.13860709,1.408234782,45.06072329,0,-34.4817755,-25.1363295,-9.839612131,1,1,TEMOZOLOMIDE.VINBLASTINE
6178,HT144,ETOPOSIDE,PD325901,4.0,0.1,0.445445418,0.931500559,48.6497996,0.005108788,1.32860513,21.36815866,0,26.39122884,-2.065887617,33.77815176,1,1,ETOPOSIDE.PD325901
11626,NCIH23,MK-4541,OXALIPLATIN,4.0,20.0,1.0,0.0,100.0,5.526599134,2.056504173,32.94666358,0,-21.14201939,-21.14201939,-21.14201939,1,1,MK-4541.OXALIPLATIN
10055,MSTO,VINBLASTINE,BEZ-235,0.04,0.4,0.04,2.783988724,6.0017848,0.072578667,1.054872017,19.01189249,0,-27.60429183,-23.38503999,-13.11802194,1,2,BEZ-235.VINBLASTINE
