,CELL_LINE,COMPOUND_A,COMPOUND_B,MAX_CONC_A,MAX_CONC_B,IC50_A,H_A,Einf_A,IC50_B,H_B,Einf_B,SUM_SYN_ANT_SAN,SUM_SYN_ANT_LOEWE,SUM_SYN_ANT_BLISS,SUM_SYN_ANT_HSA,QA,BatchID,COMBINATION_ID
18990,SW837,5-FU,GELDANAMYCIN,10.0,2.0,1.751217753,1.162933297,41.15231777,0.103979905,10.0,29.40630103,0,-28.72825371,-37.71681309,-11.76211017,1,1,5-FU.GELDANAMYCIN
4136,DLD1,VINBLASTINE,ZOLINZA,0.04,4.0,0.04,10.0,41.60337552,1.557271976,10.0,38.1997938,0,-9.906728448,6.938161925,8.376968127,1,1,VINBLASTINE.ZOLINZA
6177,HT144,ETOPOSIDE,MK-8776,4.0,4.0,0.445445418,0.931500559,48.6497996,0.438040073,2.063593968,65.51250163,0,20.26441556,-5.872463156,25.69481274,1,1,ETOPOSIDE.MK-8776
17147,SKMEL30,VINBLASTINE,PD325901,0.04,0.1,0.010900471,9.999999998,44.09590529,0.004884267,1.436717255,21.08193938,0,-12.20052882,-8.289184153,2.89176563,1,1,PD325901.VINBLASTINE
956,A2780,MRK-003,MK-2206,10.0,4.0,6.565226945,1.871427734,42.52617738,0.333903704,1.447665457,51.58956062,0,27.04419137,21.82581516,37.15646219,1,1,MK-2206.MRK-003
13086,NCIH520,ZOLINZA,SN-38,4.0,0.005,1.312008147,10.0,30.89781384,0.005,1.362937134,37.31691831,0,-6.319627351,7.706601965,13.44314551,1,1,SN-38.ZOLINZA
5338,ES2,VINBLASTINE,MK-8669,0.04,0.01,0.013616439,9.519527005,41.60171111,0.000549034,10.0,87.62999839,0,-0.644277386,3.935033658,6.403775323,1,1,MK-8669.VINBLASTINE
14626,OVCAR3,MRK-003,PD325901,10.0,0.1,0.587964659,2.963516773,68.06153173,0.006938836,1.51748287,74.17604956,0,44.72812108,19.66615544,46.62452997,1,1,MRK-003.PD325901
15500,RKO,BEZ-235,MK-8776,0.4,4.0,0.023979506,1.651382462,47.62224428,0.37875908,1.799934519,47.48197238,0,56.97251397,27.86702599,67.31463972,1,1,BEZ-235.MK-8776
10664,NCIH1650,VINBLASTINE,L778123,0.04,5.0,0.035265222,2.007607133,0.0,5.0,0.407740322,36.78702576,0,31.03221072,26.50041484,33.93170602,1,1,L778123.VINBLASTINE
8875,LOVO,TEMOZOLOMIDE,MK-8776,250.0,4.0,250.0,10.0,88.59101696,0.257843062,1.883492775,29.73268258,0,-3.317233268,-4.08823766,-2.536053596,1,1,MK-8776.TEMOZOLOMIDE
12833,NCIH520,MK-5108,ERLOTINIB,2.0,5.0,0.467125114,2.144212024,52.47306326,3.953616264,1.92308531,70.54765637,0,-3.130482962,-4.165739449,1.18977356,1,1,ERLOTINIB.MK-5108
4887,ES2,CYCLOPHOSPHAMIDE,MK-4827,10.0,10.0,1.0,0.0,100.0,3.646248695,10.0,47.59744256,0,-4.268705853,-4.268705853,-4.268705853,1,1,CYCLOPHOSPHAMIDE.MK-4827
