,CELL_LINE,COMPOUND_A,COMPOUND_B,MAX_CONC_A,MAX_CONC_B,IC50_A,H_A,Einf_A,IC50_B,H_B,Einf_B,SUM_SYN_ANT_SAN,SUM_SYN_ANT_LOEWE,SUM_SYN_ANT_BLISS,SUM_SYN_ANT_HSA,QA,BatchID,COMBINATION_ID
14124,OV90,PD325901,OXALIPLATIN,0.1,20.0,0.00918619,1.290288845,15.34247821,5.908511307,1.773113235,43.4171078,0,-14.1918755,-24.77274225,-4.133633433,1,1,OXALIPLATIN.PD325901
5118,ES2,MK-5108,BORTEZOMIB,2.0,0.04,0.763541313,10.0,84.60220918,0.010181121,10.0,4.299070337,0,-3.392853518,-3.065818277,-0.298944427,1,1,BORTEZOMIB.MK-5108
6290,HT144,MK-4541,TOPOTECAN,4.0,1.0,3.551458618,1.153749369,89.13433023,0.240570703,0.85408734,0.0,0,-4.996726884,-8.216843467,-4.996726884,1,1,MK-4541.TOPOTECAN
8782,LOVO,MITOMYCINE,BEZ-235,1.0,0.4,0.597884092,1.077961393,0.0,0.016477686,1.453323164,21.62664088,0,5.81355128,-6.690826244,18.29977625,1,1,BEZ-235.MITOMYCINE
967,A2780,MRK-003,SN-38,10.0,0.005,6.565226945,1.871427734,42.52617738,0.001749165,1.310221706,20.57815472,0,16.33492851,16.51656066,27.6327012,1,1,MRK-003.SN-38
15397,PA1,VINBLASTINE,MK-8776,0.04,4.0,0.004257307,1.559885731,2.950758262,1.171066503,2.908021544,76.65803668,0,-12.17590025,-16.60381543,-6.978073311,1,1,MK-8776.VINBLASTINE
18672,SW620,MK-4541,VINBLASTINE,4.0,0.04,1.0,0.0,100.0,0.032272369,1.770630888,0.0,0,-0.452401621,-0.452401621,-0.452401621,1,1,MK-4541.VINBLASTINE
18854,SW620,SN-38,SORAFENIB,0.005,20.0,0.004440648,1.441320144,0.0,14.74249419,2.829603551,0.0,0,1.738226344,11.01829011,16.95300433,1,1,SN-38.SORAFENIB
20978,UWB1289,MK-2206,TOPOTECAN,4.0,1.0,4.0,0.626152501,14.62653858,0.031631928,1.623216997,0.0,0,-3.973626079,-11.50524208,-0.809738291,1,1,MK-2206.TOPOTECAN
11206,NCIH2122,PACLITAXEL,SUNITINIB,0.04,5.0,0.001716632,10.0,6.612943172,3.332637087,10.0,60.32903639,0,-15.8237403,-10.02748887,-7.294996236,1,1,PACLITAXEL.SUNITINIB
1236,A375,AZD1775,TOPOTECAN,0.5,1.0,0.242489497,2.927098452,49.36934791,0.074210315,1.710577606,8.247859088,0,6.231331598,2.916892776,11.27351927,1,1,AZD1775.TOPOTECAN
11166,NCIH2122,MITOMYCINE,MK-8669,1.0,0.01,0.045254691,1.435175022,19.81352745,0.002758229,10.0,89.49994603,0,-9.018223777,-11.75044966,-9.018223777,1,1,MITOMYCINE.MK-8669
3769,DLD1,ERLOTINIB,GELDANAMYCIN,5.0,2.0,4.645981859,1.080847422,0.0,0.389290728,1.558975138,48.47430332,0,36.14346267,27.83350373,46.85133905,1,1,ERLOTINIB.GELDANAMYCIN
920,A2780,MK-5108,DINACICLIB,2.0,0.04,0.504400142,1.55405091,43.64959764,0.006699069,2.301848829,10.32444442,0,5.645138055,2.352650018,15.96291171,1,1,DINACICLIB.MK-5108
