index,name
0,TARGET@HDAC1
1,TARGET@PDGFRB
2,TARGET@PDGFRA
3,TARGET@HDAC2
4,TARGET@HDAC6
5,TARGET@DHFR
6,TARGET@HDAC8
7,TARGET@EGFR
8,TARGET@HDAC3
9,TARGET@MAP2K1
10,TARGET@AKT1
11,TARGET@AKT2
12,TARGET@AKT3
13,TARGET@RRM1
14,TARGET@FLT3
15,TARGET@CDK1
16,TARGET@Proteasome
17,TARGET@microtubule
18,TARGET@PIK3CA
19,TARGET@PIK3CB
20,TARGET@DNMT1
21,TARGET@PIK3CD
22,TARGET@PIK3CG
23,TARGET@HSP90AB1
24,TARGET@AURKA
25,TARGET@WEE1
26,TARGET@TOP2B
27,TARGET@KDR
28,TARGET@TOP2A
29,TARGET@ERBB2
30,TARGET@SRC
31,TARGET@NR3C1
32,TARGET@DNA
33,TARGET@FNTA
34,TARGET@FNTB
35,TARGET@PRKAB1
36,TARGET@TOP1MT
37,TARGET@ABL
38,TARGET@PARP1
39,TARGET@PARP2
40,TARGET@Gamma secretase
41,TARGET@PDGFR
42,TARGET@AR
43,TARGET@MTOR
44,TARGET@HSP90AA1
45,TARGET@PGGT1B
46,TARGET@TUBB
47,TARGET@TOP1
48,TARGET@KIT
49,TARGET@MAP2K2
50,TARGET@TYMS
51,TARGET@CDK2
52,TARGET@CDK5
53,TARGET@CMPK1
54,TARGET@CDK9
55,TARGET@CHEK1
56,IC50@diff
57,IC50@sum
58,einf@diff
59,einf@sum
60,MUTATION@BCL2L1
61,MUTATION@HDAC1
62,MUTATION@ITCH
63,MUTATION@CASP3
64,MUTATION@CASP10
65,MUTATION@AKT1
66,MUTATION@AKT2
67,MUTATION@HDAC2
68,MUTATION@RB1
69,MUTATION@DAB2
70,MUTATION@MLST8
71,MUTATION@MAP3K2
72,MUTATION@PIK3CA
73,MUTATION@RBPJ
74,MUTATION@MAP3K1
75,MUTATION@MAP3K4
76,MUTATION@MAP3K5
77,MUTATION@CDH1
78,MUTATION@MYC
79,MUTATION@KRAS
80,MUTATION@CUL1
81,MUTATION@BRCA1
82,MUTATION@ERBB3
83,MUTATION@IGF1R
84,MUTATION@BRCA2
85,MUTATION@ERBB4
86,MUTATION@BAD
87,MUTATION@DLEC1
88,MUTATION@ARRDC1
89,MUTATION@RFNG
90,MUTATION@MDM2
91,MUTATION@MDM4
92,MUTATION@FGFR1
93,MUTATION@TERT
94,MUTATION@CCND1
95,MUTATION@CXCL8
96,MUTATION@CCND2
97,MUTATION@ERBB2
98,MUTATION@CSF1
99,MUTATION@KIT
100,MUTATION@SPEN
101,MUTATION@PTEN
102,MUTATION@CTBP1
103,MUTATION@CTBP2
104,MUTATION@PLAGL1
105,MUTATION@KDM5A
106,MUTATION@SLC19A1
107,MUTATION@MMP14
108,MUTATION@MMP15
109,MUTATION@MMP16
110,MUTATION@MMP17
111,MUTATION@MMP10
112,MUTATION@MMP11
113,MUTATION@MMP12
114,MUTATION@MMP13
115,MUTATION@RASSF1
116,MUTATION@CDKN1B
117,MUTATION@CDKN1A
118,MUTATION@HLA-G
119,MUTATION@MMP19
120,MUTATION@HIF1A
121,MUTATION@NCSTN
122,MUTATION@BCL2
123,MUTATION@PSENEN
124,MUTATION@RICTOR
125,MUTATION@MAML2
126,MUTATION@MAML3
127,MUTATION@MAML1
128,MUTATION@RAF1
129,MUTATION@CCNE1
130,MUTATION@CDK2
131,MUTATION@RBPJL
132,MUTATION@AKT1S1
133,MUTATION@JAK2
134,MUTATION@PIK3R2
135,MUTATION@PIK3R1
136,MUTATION@JAK1
137,MUTATION@MTOR
138,MUTATION@OPCML
139,MUTATION@GSK3B
140,MUTATION@TGFBR2
141,MUTATION@CHEK1
142,MUTATION@PDGFB
143,MUTATION@IGF1
144,MUTATION@CDK6
145,MUTATION@CDC25A
146,MUTATION@PARP1
147,MUTATION@CHUK
148,MUTATION@MAP2K3
149,MUTATION@VEGFA
150,MUTATION@VEGFB
151,MUTATION@EIF4E
152,MUTATION@WFDC2
153,MUTATION@EIF5A2
154,MUTATION@FGF1
155,MUTATION@RPS6KA1
156,MUTATION@RPS6KA2
157,MUTATION@RHEB
158,MUTATION@TP53
159,MUTATION@ITGAV
160,MUTATION@EIF4EBP1
161,MUTATION@CASP6
162,MUTATION@MAP3K3
163,MUTATION@HES1
164,MUTATION@HES2
165,MUTATION@HES4
166,MUTATION@HES5
167,MUTATION@HES7
168,MUTATION@DTX3L
169,MUTATION@PDGFRB
170,MUTATION@PDGFRA
171,MUTATION@CIR1
172,MUTATION@MFNG
173,MUTATION@TGFB1
174,MUTATION@RPS6KB1
175,MUTATION@ATM
176,MUTATION@MAPK14
177,MUTATION@RPS6
178,MUTATION@ATR
179,MUTATION@MAPK12
180,MUTATION@TSC2
181,MUTATION@NCOR2
182,MUTATION@TSC1
183,MUTATION@APH1B
184,MUTATION@APH1A
185,MUTATION@STAT3
186,MUTATION@STAT2
187,MUTATION@STAT1
188,MUTATION@MAPK3
189,MUTATION@PSEN2
190,MUTATION@PSEN1
191,MUTATION@CSF1R
192,MUTATION@RPS6KB2
193,MUTATION@FANCF
194,MUTATION@SPARC
195,MUTATION@MAPK1
196,MUTATION@MAPK6
197,MUTATION@MAPK7
198,MUTATION@MAPK4
