index,name
291,VEGFA
292,VEGFA.1
293,VEGFB
294,VEGFB.1
295,KDR
296,KDR.1
297,CXCL8
298,CXCL8.1
299,CXCR1
300,CXCR1.1
301,CXCR2
302,CXCR2.1
303,NFKB1
304,NFKB1.1
305,NFKB2
306,NFKB2.1
307,CHUK
308,CHUK.1
309,DIRAS3
310,DIRAS3.1
311,FAS
312,FAS.1
313,HLA-G
314,HLA-G.1
315,BAD
316,BAD.1
317,BCL2
318,BCL2.1
319,BCL2L1
320,BCL2L1.1
321,APAF1
322,APAF1.1
323,CASP9
324,CASP9.1
325,CASP8
326,CASP8.1
327,CASP10
328,CASP10.1
329,CASP3
330,CASP3.1
331,CASP6
332,CASP6.1
333,CASP7
334,CASP7.1
335,GSK3B
336,GSK3B.1
337,ARL11
338,ARL11.1
339,WWOX
340,WWOX.1
341,PEG3
342,PEG3.1
343,TGFB1
344,TGFB1.1
345,TGFBR1
346,TGFBR1.1
347,TGFBR2
348,TGFBR2.1
349,TP53
350,TP53.1
351,MDM2
352,MDM2.1
353,MDM4
354,MDM4.1
355,CDKN2A
356,CDKN2A.1
357,CDKN2B
358,CDKN2B.1
359,TP53BP1
360,TP53BP1.1
361,RB1
362,RB1.1
363,RBL1
364,RBL1.1
365,RBL2
366,RBL2.1
367,CCNA1
368,CCNA1.1
369,CCNB1
370,CCNB1.1
371,CDK1
372,CDK1.1
373,CCNE1
374,CCNE1.1
375,CDK2
376,CDK2.1
377,CDC25A
378,CDC25A.1
379,CCND1
380,CCND1.1
381,CDK4
382,CDK4.1
383,CDK6
384,CDK6.1
385,CCND2
386,CCND2.1
387,CDKN2A
388,CDKN2A.1
389,CDKN2B
390,CDKN2B.1
391,MYC
392,MYC.1
393,CDKN1A
394,CDKN1A.1
395,CDKN1B
396,CDKN1B.1
397,E2F1
398,E2F1.1
399,E2F2
400,E2F2.1
401,E2F3
402,E2F3.1
403,E2F4
404,E2F4.1
405,E2F5
406,E2F5.1
407,E2F6
408,E2F6.1
409,E2F7
410,E2F7.1
411,E2F8
412,E2F8.1
413,SRC
414,SRC.1
415,JAK1
416,JAK1.1
417,JAK2
418,JAK2.1
419,STAT1
420,STAT1.1
421,STAT2
422,STAT2.1
423,STAT3
424,STAT3.1
425,STAT5A
426,STAT5A.1
427,STAT5B
428,STAT5B.1
429,KRAS
430,KRAS.1
431,HRAS
432,HRAS.1
433,BRAF
434,BRAF.1
435,RAF1
436,RAF1.1
437,MAP3K1
438,MAP3K1.1
439,MAP3K2
440,MAP3K2.1
441,MAP3K3
442,MAP3K3.1
443,MAP3K4
444,MAP3K4.1
445,MAP3K5
446,MAP3K5.1
447,MAP2K1
448,MAP2K1.1
449,MAP2K2
450,MAP2K2.1
451,MAP2K3
452,MAP2K3.1
453,MAP2K4
454,MAP2K4.1
455,MAP2K5
456,MAP2K5.1
457,MAPK1
458,MAPK1.1
459,MAPK3
460,MAPK3.1
461,MAPK4
462,MAPK4.1
463,MAPK6
464,MAPK6.1
465,MAPK7
466,MAPK7.1
467,MAPK8
468,MAPK8.1
469,MAPK9
470,MAPK9.1
471,MAPK12
472,MAPK12.1
473,MAPK14
474,MAPK14.1
475,DAB2
476,DAB2.1
477,RASSF1
478,RASSF1.1
479,RAB25
480,RAB25.1
481,TERC
482,TERC.1
483,TERT
484,TERT.1
485,PIK3CA
486,PIK3CA.1
