index,name
790,VEGFA
791,KDR
792,VEGFB
793,CDKN1B
794,STAT3
795,STAT2
796,STAT1
797,CCNA1
798,CCNE1
799,CDK2
800,RB1
801,JAK2
802,JAK1
803,MYC
804,CDKN2B
805,SRC
806,CDKN2A
807,RBL1
808,RBL2
809,CDC25A
810,CCNB1
811,E2F7
812,E2F5
813,E2F3
814,E2F2
815,E2F1
816,CCND1
817,CCND2
818,E2F8
819,STAT5B
820,STAT5A
821,CDK4
822,CDK6
823,BRCA1
824,MSH2
825,ATM
826,PARP1
827,MLH1
828,FANCF
829,ATR
830,RAD51
831,MDC1
832,CHEK1
833,SLC19A1
834,FOLR1
835,FOLR2
836,FOLR3
837,MMP14
838,MMP15
839,MMP16
840,MMP17
841,MMP10
842,MMP11
843,MMP12
844,MMP13
845,MMP19
846,PTK2
847,MMP28
848,MMP25
849,MMP24
850,MMP27
851,WFDC2
852,MMP21
853,MMP26
854,ITGAV
855,SPARC
856,MMP9
857,CDH1
858,MMP7
859,MMP2
860,MMP3
861,MMP1
862,DTX3L
863,DTX4
864,CIR1
865,MFNG
866,DTX1
867,DTX2
868,DTX3
869,LFNG
870,NCSTN
871,ADAM10
872,HDAC2
873,NOTCH2
874,ADAM17
875,NCOR2
876,KDM5A
877,APH1B
878,APH1A
879,MAML2
880,ITCH
881,MAML1
882,PSEN2
883,RBPJ
884,JAG2
885,JAG1
886,CUL1
887,FBXW7
888,MAML3
889,HEYL
890,DLL1
891,DLL3
892,DLL4
893,ARRDC1
894,NUMB
895,HES1
896,RFNG
897,EP300
898,HEY2
899,CTBP2
900,HDAC1
901,HEY1
902,SNW1
903,NOTCH4
904,NOTCH1
905,NRARP
906,NOTCH3
907,SPEN
908,HES5
909,CTBP1
910,HES2
911,NUMBL
912,HES4
913,PSEN1
914,HES7
915,IGF1R
916,IGF1
917,CSF1R
918,CSF1
919,DLEC1
920,AURKA
921,OPCML
922,PLAGL1
923,FGF1
924,FGFR1
925,CDKN2B
926,CDKN2A
927,TP53
928,TP53BP1
929,MDM2
930,MDM4
931,FOXO3
932,AKT1
933,FOXO1
934,MTOR
935,MLST8
936,TSC2
937,TSC1
938,RPTOR
939,RICTOR
940,PIK3CA
941,AKT2
942,PTEN
943,PIK3R2
944,PIK3R1
945,PDPK1
946,RHEB
947,MAPK12
948,RASSF1
949,HRAS
950,MAP2K3
951,MAP2K2
952,MAP2K1
953,MAP2K5
954,MAP2K4
955,RAF1
956,KRAS
957,MAPK14
958,RAB25
959,MAP3K2
960,MAP3K3
961,MAP3K1
962,MAP3K4
963,MAP3K5
964,MAPK3
965,MAPK1
966,MAPK7
967,MAPK4
968,MAPK8
969,MAPK9
970,BRAF
971,RPS6KA1
972,RPS6KA2
973,RPS6KB1
974,RPS6KB2
975,RPS6
976,EIF4EBP1
977,EIF4E
978,EIF5A2
979,ERBB2
980,ERBB3
981,PDGFB
982,IGF1
983,ERBB4
984,PDGFA
985,EGFR
986,IGF1R
987,VEGFA
988,VEGFB
989,PDGFRA
990,FGF1
991,FGFR1
992,KIT
993,PDGFRB
994,KDR
995,BCL2L1
996,TGFB1
997,TGFBR1
998,DIRAS3
999,TGFBR2
1000,ARL11
1001,BAD
1002,CASP7
1003,CASP9
1004,CASP6
1005,CASP10
1006,CASP3
1007,FAS
1008,CASP8
1009,GSK3B
1010,WWOX
1011,NFKB1
1012,NFKB2
1013,APAF1
1014,BCL2
1015,TERT
