index,name
60,BCL2L1
61,HDAC1
62,ITCH
63,CASP3
64,CASP10
65,AKT1
66,AKT2
67,HDAC2
68,RB1
69,DAB2
70,MLST8
71,MAP3K2
72,PIK3CA
73,RBPJ
74,MAP3K1
75,MAP3K4
76,MAP3K5
77,CDH1
78,MYC
79,KRAS
80,CUL1
81,BRCA1
82,ERBB3
83,IGF1R
84,BRCA2
85,ERBB4
86,BAD
87,DLEC1
88,ARRDC1
89,RFNG
90,MDM2
91,MDM4
92,FGFR1
93,TERT
94,CCND1
95,CXCL8
96,CCND2
97,ERBB2
98,CSF1
99,KIT
100,SPEN
101,PTEN
102,CTBP1
103,CTBP2
104,PLAGL1
105,KDM5A
106,SLC19A1
107,MMP14
108,MMP15
109,MMP16
110,MMP17
111,MMP10
112,MMP11
113,MMP12
114,MMP13
115,RASSF1
116,CDKN1B
117,CDKN1A
118,HLA-G
119,MMP19
120,HIF1A
121,NCSTN
122,BCL2
123,PSENEN
124,RICTOR
125,MAML2
126,MAML3
127,MAML1
128,RAF1
129,CCNE1
130,CDK2
131,RBPJL
132,AKT1S1
133,JAK2
134,PIK3R2
135,PIK3R1
136,JAK1
137,MTOR
138,OPCML
139,GSK3B
140,TGFBR2
141,CHEK1
142,PDGFB
143,IGF1
144,CDK6
145,CDC25A
146,PARP1
147,CHUK
148,MAP2K3
149,VEGFA
150,VEGFB
151,EIF4E
152,WFDC2
153,EIF5A2
154,FGF1
155,RPS6KA1
156,RPS6KA2
157,RHEB
158,TP53
159,ITGAV
160,EIF4EBP1
161,CASP6
162,MAP3K3
163,HES1
164,HES2
165,HES4
166,HES5
167,HES7
168,DTX3L
169,PDGFRB
170,PDGFRA
171,CIR1
172,MFNG
173,TGFB1
174,RPS6KB1
175,ATM
176,MAPK14
177,RPS6
178,ATR
179,MAPK12
180,TSC2
181,NCOR2
182,TSC1
183,APH1B
184,APH1A
185,STAT3
186,STAT2
187,STAT1
188,MAPK3
189,PSEN2
190,PSEN1
191,CSF1R
192,RPS6KB2
193,FANCF
194,SPARC
195,MAPK1
196,MAPK6
197,MAPK7
198,MAPK4
199,NFKB1
200,MAPK8
201,LFNG
202,HRAS
203,KDR
204,FBXW7
205,SRC
206,TGFBR1
207,RBL1
208,RBL2
209,CCNB1
210,DLL1
211,DLL3
212,DLL4
213,EP300
214,HEY2
215,NFKB2
216,HEY1
217,FOXO3
218,MAPK9
219,MAP2K1
220,NRARP
221,STAT5B
222,STAT5A
223,CDK4
224,APAF1
225,RAD51
226,WWOX
227,HEYL
228,DIRAS3
229,PEG3
230,DTX4
231,CDKN2B
232,PTK2
233,DTX1
234,DTX2
235,DTX3
236,MSH2
237,MAP2K4
238,EGFR
239,ADAM10
240,MAP2K2
241,FOXO1
242,CDKN2A
243,CASP8
244,MAP2K5
245,ADAM17
246,NOTCH3
247,RPTOR
248,CCNA1
249,FAS
250,FOLR1
251,MLH1
252,SNW1
253,AURKA
254,JAG2
255,JAG1
256,NUMBL
257,PDGFA
258,ITGB3
259,MDC1
260,TP53BP1
261,MMP28
262,NUMB
263,PDPK1
264,MMP25
265,MMP24
266,MMP27
267,MMP26
268,MMP21
269,E2F7
270,CASP7
271,E2F5
272,E2F4
273,E2F3
274,E2F2
275,E2F1
276,NOTCH4
277,CASP9
278,RAB25
279,NOTCH1
280,NOTCH2
281,E2F8
282,ARL11
283,BRAF
284,MMP9
285,MMP7
286,FOLR3
287,MMP2
288,MMP3
289,FOLR2
290,MMP1
